ArcBest PE Ratio Historical Data,ArcBest PE Ratio Historical Data,ArcBest PE Ratio Historical Data,ArcBest PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,104.89,,19.83
2024-06-30,106.96,$5.29,20.22
2024-03-31,142.19,$4.97,28.61
2023-12-31,119.85,$7.91,15.15
2023-09-30,101.24,$7.38,13.72
2023-06-30,98.3,$9.46,10.39
2023-03-31,91.82,$11.82,7.77
2022-12-31,69.5,$11.66,5.96
2022-09-30,72.05,$12.65,5.7
2022-06-30,69.62,$11.53,6.04
2022-03-31,79.52,$9.80,8.11
2021-12-31,118.28,$8.01,14.77
2021-09-30,80.64,$6.65,12.13
2021-06-30,57.31,$4.88,11.74
2020-12-31,41.93,$2.68,15.64
2020-09-30,30.45,$1.57,19.4
2020-06-30,25.92,$1.33,19.49
2020-03-31,17.06,$1.34,12.73
2019-12-31,26.78,$2.19,12.23
2021-03-31,69.24,$2.59,26.73
2019-09-30,29.47,$2.29,12.87
2019-06-30,27.13,$3.19,8.51
2019-03-31,29.63,$2.32,12.77
2018-12-31,32.9,$2.51,13.11
2018-09-30,46.53,$3.31,14.06
2018-06-30,43.73,$2.35,18.61
2018-03-31,30.62,$2.90,10.56
2017-12-31,34.07,$2.24,15.21
2017-09-30,31.8,$0.93,34.19
2017-06-30,19.52,$0.86,22.7
2017-03-31,24.53,$0.65,37.74
2016-12-31,26.02,$0.70,37.17
2016-09-30,17.85,$0.83,21.5
2016-06-30,15.18,$1.06,14.32
2016-03-31,20.07,$1.41,14.24
2015-12-31,19.8,$1.68,11.79
2015-09-30,23.78,$2.02,11.77
2015-06-30,29.29,$2.02,14.5
2015-03-31,34.85,$1.91,18.24
2014-12-31,42.58,$2.26,18.84
2014-09-30,34.21,$2.25,15.2
2014-06-30,39.86,$1.71,23.31
2013-12-31,30.81,$0.56,55.01
2013-09-30,23.45,$-0.13,0.0
2013-06-30,20.94,$-0.41,0.0
2013-03-31,10.63,$-0.15,0.0
2012-12-31,8.66,$-0.34,0.0
2012-09-30,7.17,$0.02,358.38
2012-06-30,11.36,$0.26,43.68
2012-03-31,16.92,$0.02,846.06
2011-12-31,17.31,$0.22,78.67
2011-09-30,14.48,$0.05,289.67
2011-06-30,21.25,$-0.46,0.0
2011-03-31,23.18,$-0.96,0.0
2010-12-31,24.5,$-1.30,0.0
2010-09-30,21.62,$-4.72,0.0
2010-06-30,18.49,$-4.92,0.0
2010-03-31,26.6,$-5.24,0.0
2009-12-31,26.16,$-5.12,0.0
2009-09-30,26.46,$-1.58,0.0
