Novavax PE Ratio Historical Data,Novavax PE Ratio Historical Data,Novavax PE Ratio Historical Data,Novavax PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.35,,0.0
2024-06-30,12.66,$-2.76,0.0
2024-03-31,4.78,$-3.17,0.0
2023-12-31,4.8,$-5.53,0.0
2023-09-30,7.24,$-6.37,0.0
2023-06-30,7.43,$-7.26,0.0
2023-03-31,6.93,$-14.37,0.0
2022-12-31,10.28,$-8.40,0.0
2022-09-30,18.2,$-17.30,0.0
2022-06-30,51.43,$-19.46,0.0
2022-03-31,73.65,$-17.68,0.0
2021-12-31,143.07,$-23.29,0.0
2021-09-30,207.31,$-14.81,0.0
2021-06-30,212.31,$-13.71,0.0
2021-03-31,181.31,$-9.26,0.0
2020-12-31,111.51,$-6.79,0.0
2020-09-30,108.35,$-5.22,0.0
2020-06-30,83.35,$-2.75,0.0
2020-03-31,13.58,$-4.14,0.0
2019-12-31,3.98,$-5.76,0.0
2019-09-30,5.02,$-7.23,0.0
2019-06-30,5.86,$-8.89,0.0
2019-03-31,11.02,$-9.60,0.0
2018-12-31,36.8,$-10.20,0.0
2018-09-30,37.6,$-10.80,0.0
2018-06-30,26.8,$-11.40,0.0
2018-03-31,42.0,$-12.20,0.0
2017-12-31,24.8,$-12.60,0.0
2017-09-30,22.8,$-13.60,0.0
2017-06-30,23.0,$-15.40,0.0
2017-03-31,25.6,$-18.00,0.0
2016-12-31,25.2,$-20.60,0.0
2016-09-30,41.6,$-22.20,0.0
2016-06-30,145.4,$-19.80,0.0
2016-03-31,103.2,$-15.60,0.0
2015-12-31,167.8,$-11.80,0.0
2015-09-30,141.6,$-8.60,0.0
2015-06-30,222.8,$-7.80,0.0
2015-03-31,165.4,$-7.80,0.0
2014-12-31,118.6,$-7.20,0.0
2014-09-30,83.4,$-6.00,0.0
2014-06-30,92.4,$-6.20,0.0
2014-03-31,90.6,$-6.20,0.0
2013-12-31,102.4,$-6.20,0.0
2013-09-30,63.0,$-6.00,0.0
2013-06-30,41.0,$-5.20,0.0
2013-03-31,45.6,$-4.60,0.0
2012-12-31,37.8,$-4.40,0.0
2012-09-30,43.2,$-3.80,0.0
2012-06-30,31.2,$-3.40,0.0
2012-03-31,25.2,$-3.20,0.0
2011-12-31,25.2,$-3.40,0.0
2011-09-30,32.0,$-4.00,0.0
2011-06-30,40.4,$-5.40,0.0
2011-03-31,51.8,$-6.40,0.0
2010-12-31,48.6,$-7.20,0.0
2010-09-30,43.8,$-9.00,0.0
2010-06-30,43.4,$-8.60,0.0
2010-03-31,46.2,$-8.80,0.0
2009-12-31,53.2,$-9.00,0.0
