YPF Sociedad Anonima PE Ratio Historical Data,YPF Sociedad Anonima PE Ratio Historical Data,YPF Sociedad Anonima PE Ratio Historical Data,YPF Sociedad Anonima PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,25.02,,0.0
2024-06-30,20.12,$-2.10,0.0
2024-03-31,19.8,$-2.56,0.0
2023-12-31,17.19,$-3.35,0.0
2023-09-30,12.25,$2.59,4.73
2023-06-30,14.89,$4.64,3.21
2023-03-31,10.98,$5.79,1.9
2022-12-31,9.19,$5.56,1.65
2022-09-30,6.21,$5.00,1.24
2022-06-30,3.26,$3.87,0.84
2022-03-31,4.83,$0.64,7.55
2021-12-31,3.82,$-0.06,0.0
2021-09-30,4.66,$0.72,6.47
2021-06-30,4.68,$-1.10,0.0
2021-03-31,4.11,$-3.07,0.0
2020-12-31,4.7,$-2.75,0.0
2020-09-30,3.57,$-4.61,0.0
2020-06-30,5.75,$-4.04,0.0
2020-03-31,4.17,$-1.01,0.0
2019-12-31,11.58,$-1.81,0.0
2019-09-30,9.25,$-0.16,0.0
2019-06-30,18.07,$1.57,11.51
2019-03-31,13.9,$2.06,6.75
2018-12-31,13.29,$3.39,3.92
2018-09-30,15.24,$3.93,3.88
2018-06-30,13.39,$2.87,4.67
2018-03-31,21.32,$2.57,8.3
2017-12-31,22.59,$1.78,12.69
2017-09-30,21.97,$0.32,68.66
2017-06-30,21.5,$-4.85,0.0
2017-03-31,23.84,$-5.01,0.0
2016-12-31,16.2,$-4.83,0.0
2016-09-30,17.89,$-5.54,0.0
2016-06-30,18.7,$0.13,143.86
2016-03-31,17.42,$0.92,18.93
2015-12-31,15.31,$1.36,11.26
2015-09-30,14.84,$2.23,6.65
2015-06-30,26.57,$2.71,9.8
2015-03-31,26.59,$2.52,10.55
2014-12-31,25.64,$2.81,9.12
2014-09-30,35.83,$2.99,11.98
2014-06-30,31.52,$2.60,12.12
2014-03-31,30.05,$2.38,12.63
2013-12-31,31.79,$2.11,15.06
2013-09-30,19.41,$2.06,9.42
2013-06-30,14.16,$1.88,7.53
2013-03-31,13.71,$2.09,6.56
2012-12-31,13.96,$2.39,5.84
2012-09-30,12.27,$2.29,5.36
2012-06-30,11.66,$2.94,3.97
2012-03-31,26.82,$3.09,8.68
2011-12-31,32.73,$3.26,10.04
2011-09-30,30.77,$2.79,11.03
2011-06-30,40.52,$2.72,14.9
2011-03-31,38.46,$3.13,12.29
2010-12-31,43.49,$2.02,21.53
2010-09-30,32.51,$2.02,16.1
2010-06-30,32.45,$1.70,19.09
2010-03-31,35.15,$1.04,33.8
2009-12-31,35.36,$1.04,34.0
