Harmony Biosciences Holdings PE Ratio Historical Data,Harmony Biosciences Holdings PE Ratio Historical Data,Harmony Biosciences Holdings PE Ratio Historical Data,Harmony Biosciences Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,34.97,,17.93
2024-06-30,30.17,$1.95,15.47
2024-03-31,33.58,$2.31,14.54
2023-12-31,32.3,$2.12,15.24
2023-09-30,32.77,$2.46,13.32
2023-06-30,35.19,$3.27,10.76
2023-03-31,32.65,$3.10,10.53
2022-12-31,55.1,$2.97,18.55
2022-09-30,44.29,$2.56,17.3
2022-06-30,48.77,$0.95,51.34
2022-03-31,48.65,$0.80,60.81
2021-12-31,42.64,$0.58,73.52
2021-09-30,38.33,$0.20,191.65
2021-06-30,28.23,$0.23,122.74
