Paymentus Holdings PE Ratio Historical Data,Paymentus Holdings PE Ratio Historical Data,Paymentus Holdings PE Ratio Historical Data,Paymentus Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.3,,105.2
2024-06-30,19.0,$0.25,76.0
2024-03-31,22.75,$0.23,98.91
2023-12-31,17.87,$0.18,99.28
2023-09-30,16.6,$0.12,138.33
2023-06-30,10.56,$0.06,176.0
2023-03-31,8.86,$-0.01,0.0
2022-12-31,8.01,$-0.01,0.0
2022-09-30,9.72,$0.02,486.0
2022-06-30,13.37,$0.03,445.67
2022-03-31,21.08,$0.05,421.6
