"AMNEAL PHARMACEUTICALS, INC PE Ratio Historical Data","AMNEAL PHARMACEUTICALS, INC PE Ratio Historical Data","AMNEAL PHARMACEUTICALS, INC PE Ratio Historical Data","AMNEAL PHARMACEUTICALS, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.46,,0.0
2024-06-30,6.35,$-0.62,0.0
2024-03-31,6.06,$-0.56,0.0
2023-12-31,6.07,$-0.31,0.0
2023-09-30,4.22,$0.06,70.33
2023-06-30,3.1,$-0.02,0.0
2023-03-31,1.39,$-0.90,0.0
2022-12-31,1.99,$-0.89,0.0
2022-09-30,2.02,$-0.89,0.0
2022-06-30,3.18,$-0.77,0.0
2021-12-31,4.79,$0.07,68.43
2021-09-30,5.34,$0.09,59.33
2021-06-30,5.12,$0.11,46.55
2021-03-31,6.73,$-0.05,0.0
2020-12-31,4.57,$-0.17,0.0
2022-03-31,4.17,$0.63,6.62
2020-09-30,3.88,$0.41,9.46
2020-06-30,4.76,$-1.56,0.0
2020-03-31,3.48,$-1.85,0.0
2019-12-31,4.82,$-2.70,0.0
2019-09-30,2.9,$-2.42,0.0
2019-03-31,14.17,$-0.54,0.0
2018-12-31,13.53,$-0.17,0.0
2018-09-30,22.19,$-0.23,0.0
