Oceaneering PE Ratio Historical Data,Oceaneering PE Ratio Historical Data,Oceaneering PE Ratio Historical Data,Oceaneering PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,25.04,,20.69
2024-06-30,23.66,$1.21,19.55
2024-03-31,23.4,$1.06,22.08
2023-12-31,21.28,$0.95,22.4
2023-09-30,25.72,$0.75,34.29
2023-06-30,18.7,$0.64,29.22
2023-03-31,17.63,$0.49,35.98
2022-12-31,17.49,$0.26,67.27
2022-09-30,7.96,$-0.36,0.0
2022-06-30,10.68,$-0.61,0.0
2022-03-31,15.16,$-0.59,0.0
2021-12-31,11.31,$-0.49,0.0
2021-09-30,13.32,$-0.35,0.0
2021-06-30,15.57,$-1.08,0.0
2021-03-31,11.42,$-1.39,0.0
2020-12-31,7.95,$-5.01,0.0
2020-09-30,3.52,$-7.42,0.0
2020-06-30,6.39,$-6.88,0.0
2020-03-31,2.94,$-6.88,0.0
2019-12-31,14.91,$-3.82,0.0
2019-09-30,13.55,$-1.83,0.0
2019-03-31,15.77,$-1.91,0.0
2018-12-31,12.1,$-2.16,0.0
2018-09-30,27.6,$0.25,110.4
2018-06-30,25.46,$0.56,45.46
2018-03-31,18.54,$0.88,21.07
2017-12-31,21.14,$1.40,15.1
2019-06-30,20.39,$-0.44,0.0
2017-09-30,26.27,$-0.19,0.0
2017-06-30,22.69,$-0.29,0.0
2017-03-31,26.75,$-0.08,0.0
2016-12-31,27.71,$0.26,106.58
2016-09-30,26.87,$0.65,41.34
2016-06-30,28.88,$1.47,19.65
2016-03-31,31.89,$1.90,16.78
2015-12-31,35.63,$2.34,15.23
2015-09-30,37.08,$3.05,12.16
2015-06-30,43.68,$3.51,12.45
2015-03-31,50.31,$3.87,13.0
2014-12-31,54.59,$4.01,13.61
2014-09-30,60.26,$3.88,15.53
2014-06-30,71.96,$3.68,19.55
2014-03-31,65.94,$3.57,18.47
2013-12-31,72.15,$3.42,21.1
2013-09-30,74.1,$3.30,22.45
2013-06-30,65.68,$3.12,21.05
2013-03-31,60.23,$2.88,20.91
2012-12-31,48.64,$2.73,17.82
2012-09-30,49.79,$2.71,18.37
2012-06-30,42.99,$2.45,17.55
2011-12-31,41.17,$2.17,19.02
2011-09-30,31.43,$2.07,15.22
2011-06-30,35.89,$1.82,19.78
2011-03-31,39.48,$1.84,21.45
2010-12-31,32.49,$1.95,16.71
2012-03-31,48.22,$1.86,25.93
2010-09-30,23.77,$1.81,13.17
2010-06-30,19.82,$1.71,11.59
2010-03-31,28.02,$1.66,16.93
2009-12-31,25.83,$1.70,15.19
