GDS Holdings PE Ratio Historical Data,GDS Holdings PE Ratio Historical Data,GDS Holdings PE Ratio Historical Data,GDS Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.16,,0.0
2024-06-30,9.29,$-3.21,0.0
2024-03-31,6.65,$-3.21,0.0
2023-12-31,9.12,$-3.34,0.0
2023-09-30,10.95,$-1.06,0.0
2023-06-30,10.99,$-1.01,0.0
2023-03-31,18.66,$-1.15,0.0
2022-12-31,20.62,$-1.25,0.0
2022-09-30,17.66,$-1.38,0.0
2022-06-30,33.39,$-1.39,0.0
2022-03-31,39.25,$-1.33,0.0
2021-09-30,56.61,$-1.04,0.0
2021-06-30,78.49,$-0.86,0.0
2020-12-31,93.64,$-0.66,0.0
2020-09-30,81.83,$-0.52,0.0
2020-06-30,79.66,$-0.43,0.0
2020-03-31,57.97,$-0.43,0.0
2019-12-31,51.58,$-0.53,0.0
2019-09-30,40.08,$-0.55,0.0
2019-06-30,37.57,$-0.57,0.0
2019-03-31,35.69,$-0.58,0.0
2018-12-31,23.09,$-0.48,0.0
2018-09-30,35.13,$-0.51,0.0
2018-06-30,40.09,$-0.51,0.0
2018-03-31,27.45,$-0.51,0.0
2017-12-31,22.53,$-0.51,0.0
2017-09-30,11.26,$-0.56,0.0
