Ocular Therapeutix PE Ratio Historical Data,Ocular Therapeutix PE Ratio Historical Data,Ocular Therapeutix PE Ratio Historical Data,Ocular Therapeutix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.09,,0.0
2024-06-30,6.84,$-1.35,0.0
2024-03-31,9.1,$-1.35,0.0
2023-12-31,4.46,$-1.25,0.0
2023-09-30,3.14,$-1.14,0.0
2023-06-30,5.16,$-1.20,0.0
2023-03-31,5.27,$-1.19,0.0
2022-12-31,2.81,$-1.02,0.0
2022-09-30,4.15,$-1.01,0.0
2022-06-30,4.02,$-0.93,0.0
2022-03-31,4.95,$-0.93,0.0
2021-12-31,6.97,$-0.95,0.0
2021-09-30,10.0,$-1.93,0.0
2021-06-30,14.18,$-1.91,0.0
2021-03-31,16.41,$-2.30,0.0
2020-12-31,20.7,$-2.47,0.0
2020-09-30,7.61,$-1.79,0.0
2020-06-30,8.33,$-2.03,0.0
2020-03-31,4.95,$-1.96,0.0
2019-12-31,3.95,$-2.00,0.0
2019-09-30,3.04,$-1.89,0.0
2019-06-30,4.4,$-1.82,0.0
2019-03-31,3.97,$-1.62,0.0
2018-12-31,3.98,$-1.57,0.0
2018-09-30,6.88,$-1.59,0.0
2018-06-30,6.75,$-1.75,0.0
2018-03-31,6.51,$-2.02,0.0
2017-12-31,4.45,$-2.20,0.0
2017-09-30,6.18,$-2.28,0.0
2017-06-30,9.27,$-2.13,0.0
2017-03-31,9.28,$-1.95,0.0
2016-12-31,8.37,$-1.81,0.0
2016-09-30,6.87,$-1.72,0.0
2016-06-30,4.95,$-1.80,0.0
2016-03-31,9.66,$-1.79,0.0
2015-12-31,9.37,$-1.70,0.0
2015-09-30,14.06,$-1.64,0.0
2015-06-30,21.03,$-1.65,0.0
