Getty Images Holdings PE Ratio Historical Data,Getty Images Holdings PE Ratio Historical Data,Getty Images Holdings PE Ratio Historical Data,Getty Images Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.02,,50.25
2024-06-30,3.26,$0.08,40.75
2024-03-31,4.15,$0.06,69.17
2023-12-31,5.25,$0.04,131.25
2023-09-30,6.49,$-0.11,0.0
2023-06-30,4.88,$-0.57,0.0
2023-03-31,5.09,$-0.27,0.0
2022-12-31,5.55,$-0.28,0.0
2022-09-30,6.79,$-0.22,0.0
2022-06-30,9.99,$0.29,34.45
2022-03-31,9.92,0,0.0
2021-12-31,9.9,0,0.0
2021-09-30,9.82,0,0.0
2020-12-31,10.4,0,0.0
