Ingredion PE Ratio Historical Data,Ingredion PE Ratio Historical Data,Ingredion PE Ratio Historical Data,Ingredion PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,134.82,,13.79
2024-06-30,113.25,$9.78,11.58
2024-03-31,115.38,$9.98,11.56
2023-12-31,106.45,$9.60,11.09
2023-09-30,95.83,$9.34,10.26
2023-06-30,102.37,$8.57,11.94
2023-03-31,97.64,$8.27,11.81
2022-12-31,93.34,$6.41,14.56
2022-09-30,75.54,$6.45,11.71
2022-06-30,82.71,$7.48,11.06
2021-12-31,89.33,$1.70,52.55
2021-09-30,81.15,$2.41,33.67
2021-06-30,82.5,$2.58,31.98
2021-03-31,81.4,$1.32,61.67
2020-12-31,70.71,$5.96,11.86
2022-03-31,81.16,$5.37,15.11
2020-09-30,67.48,$5.06,13.34
2020-06-30,73.38,$5.17,14.19
2020-03-31,66.25,$5.75,11.52
2019-12-31,80.88,$6.12,13.22
2019-09-30,70.65,$5.87,12.04
2019-06-30,70.75,$5.72,12.37
2019-03-31,80.61,$5.73,14.07
2018-12-31,77.3,$6.15,12.57
2018-09-30,88.76,$6.14,14.46
2018-06-30,93.06,$7.08,13.14
2018-03-31,107.8,$7.29,14.79
2017-12-31,116.35,$7.07,16.46
2017-09-30,99.98,$6.98,14.32
2017-06-30,98.3,$6.14,16.01
2017-03-31,98.89,$5.84,16.93
2016-12-31,102.18,$5.63,18.15
2015-12-31,77.16,$5.52,13.98
2015-09-30,69.97,$4.93,14.19
2015-06-30,63.62,$5.38,11.83
2015-03-31,61.72,$5.51,11.2
2014-12-31,66.92,$5.71,11.72
2016-09-30,108.37,$5.84,18.56
2014-09-30,59.5,$5.26,11.31
2014-06-30,58.58,$4.76,12.31
2014-03-31,52.86,$4.61,11.47
2013-12-31,52.82,$5.06,10.44
2013-09-30,50.74,$5.13,9.89
2013-06-30,50.03,$5.48,9.13
2013-03-31,54.83,$5.68,9.65
2012-12-31,48.59,$5.48,8.87
2012-09-30,41.24,$5.28,7.81
2012-06-30,37.02,$4.95,7.48
2012-03-31,42.92,$4.56,9.41
2011-12-31,39.02,$5.32,7.33
2011-09-30,29.0,$4.77,6.08
2011-06-30,40.69,$5.23,7.78
2011-03-31,38.03,$4.70,8.09
2010-12-31,33.67,$3.21,10.49
2016-06-30,105.0,$3.11,33.76
2010-09-30,27.36,$2.27,12.05
2010-06-30,22.03,$2.49,8.85
2010-03-31,25.09,$3.74,6.71
2009-12-31,21.08,$2.04,10.33
2009-09-30,20.47,$1.52,13.47
