Peloton Interactive PE Ratio Historical Data,Peloton Interactive PE Ratio Historical Data,Peloton Interactive PE Ratio Historical Data,Peloton Interactive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.27,,0.0
2024-06-30,3.38,$-1.51,0.0
2024-03-31,4.29,$-2.11,0.0
2023-12-31,6.09,$-2.45,0.0
2023-09-30,5.05,$-2.89,0.0
2023-06-30,7.69,$-3.65,0.0
2023-03-31,11.34,$-6.65,0.0
2022-12-31,7.94,$-8.13,0.0
2022-09-30,6.93,$-8.54,0.0
2022-06-30,9.18,$-8.59,0.0
2022-03-31,26.42,$-5.96,0.0
2021-12-31,35.76,$-3.72,0.0
2021-09-30,87.05,$-2.15,0.0
2021-06-30,124.02,$-0.70,0.0
2021-03-31,112.44,$0.62,181.35
2020-12-31,151.72,$0.45,337.16
2020-09-30,99.24,$0.07,1417.71
2020-06-30,57.77,$-1.42,0.0
