Comcast PE Ratio Historical Data,Comcast PE Ratio Historical Data,Comcast PE Ratio Historical Data,Comcast PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,39.57,,10.52
2024-06-30,38.84,$3.76,10.33
2024-03-31,42.68,$3.78,11.29
2023-12-31,42.89,$3.72,11.53
2023-09-30,43.08,$3.61,11.93
2023-06-30,40.09,$1.58,25.38
2023-03-31,36.3,$1.32,27.5
2022-12-31,33.23,$1.07,31.06
2022-09-30,27.63,$1.23,22.47
2022-06-30,36.72,$3.08,11.92
2021-12-31,46.6,$3.03,15.38
2021-09-30,51.56,$3.10,16.63
2021-06-30,52.34,$3.02,17.33
2021-03-31,49.44,$2.66,18.59
2020-12-31,47.66,$2.60,18.33
2022-03-31,43.57,$2.33,18.7
2020-09-30,41.86,$2.23,18.77
2020-06-30,35.27,$2.49,14.17
2020-03-31,30.93,$2.52,12.27
2019-12-31,40.0,$2.83,14.13
2019-09-30,39.91,$2.70,14.78
2019-06-30,37.25,$2.62,14.22
2019-03-31,35.04,$2.63,13.32
2018-12-31,29.84,$2.52,11.84
2018-09-30,30.87,$5.14,6.01
2018-06-30,28.44,$5.07,5.61
2018-03-31,29.45,$4.90,6.01
2017-12-31,34.39,$4.77,7.21
2017-09-30,32.9,$2.08,15.86
2017-06-30,33.28,$1.99,16.77
2017-03-31,31.88,$1.88,16.96
2016-12-31,29.28,$1.79,16.4
2016-09-30,27.9,$1.71,16.37
2016-06-30,27.3,$1.65,16.6
2016-03-31,25.47,$1.65,15.44
2015-12-31,23.42,$1.59,14.78
2015-09-30,23.51,$1.69,13.95
2015-06-30,24.86,$1.67,14.93
2014-12-31,23.68,$1.60,14.8
2014-09-30,21.95,$1.59,13.81
2014-06-30,21.82,$1.50,14.55
2014-03-31,20.26,$1.45,14.02
2013-12-31,20.94,$1.42,14.8
2015-03-31,23.25,$1.33,17.54
2013-09-30,18.11,$1.20,15.09
2013-06-30,16.61,$1.27,13.13
2013-03-31,16.62,$1.19,13.97
2012-12-31,14.79,$1.15,12.92
2012-09-30,14.03,$1.10,12.75
2012-06-30,12.55,$0.88,14.34
2012-03-31,11.65,$0.81,14.39
2011-12-31,9.21,$0.76,12.2
2011-09-30,8.04,$0.70,11.49
2011-06-30,9.7,$0.69,14.06
2011-03-31,9.42,$0.66,14.27
2010-12-31,8.34,$0.65,12.92
2010-09-30,6.82,$0.63,10.83
2010-06-30,6.52,$0.64,10.19
2010-03-31,7.03,$0.65,10.82
2009-12-31,6.26,$0.63,9.94
