1st Source PE Ratio Historical Data,1st Source PE Ratio Historical Data,1st Source PE Ratio Historical Data,1st Source PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,62.55,,12.12
2024-06-30,53.29,$5.16,10.33
2024-03-31,51.75,$4.97,10.41
2023-12-31,53.89,$5.03,10.71
2023-09-30,40.98,$5.12,8.0
2023-06-30,40.55,$5.12,7.92
2023-03-31,41.41,$5.00,8.28
2022-12-31,50.63,$4.85,10.44
2022-09-30,43.91,$4.71,9.32
2022-06-30,42.78,$4.68,9.14
2022-03-31,43.26,$4.69,9.22
2021-12-31,46.11,$4.69,9.83
2021-09-30,43.64,$4.61,9.47
2021-06-30,42.63,$4.10,10.4
2021-03-31,43.38,$3.63,11.95
2020-12-31,36.48,$3.17,11.51
2020-09-30,27.68,$3.00,9.23
2020-06-30,31.67,$3.17,9.99
2020-03-31,28.62,$3.36,8.52
2019-12-31,45.51,$3.58,12.71
2019-09-30,39.9,$3.54,11.27
2019-06-30,40.24,$3.35,12.01
2019-03-31,38.95,$3.28,11.87
2018-12-31,34.78,$3.15,11.04
2018-09-30,45.13,$3.02,14.94
2018-06-30,45.62,$2.92,15.62
2018-03-31,43.02,$2.72,15.82
2017-12-31,41.85,$2.61,16.03
2017-09-30,42.82,$2.50,17.13
2017-06-30,40.25,$2.39,16.84
2017-03-31,39.27,$2.31,17.0
2016-12-31,37.2,$2.22,16.76
2016-09-30,29.58,$2.19,13.51
2016-06-30,26.7,$2.17,12.3
2016-03-31,26.11,$2.15,12.16
2015-12-31,25.16,$2.13,11.84
2015-09-30,24.99,$2.14,11.68
2015-06-30,25.0,$2.17,11.51
2015-03-31,23.41,$2.17,10.77
2014-12-31,24.85,$2.16,11.48
2014-09-30,20.5,$2.11,9.72
2014-06-30,21.91,$2.09,10.48
2014-03-31,22.82,$2.06,11.06
2013-12-31,22.58,$2.02,11.19
2013-09-30,18.93,$1.96,9.64
2013-06-30,16.61,$1.90,8.74
2013-03-31,16.45,$1.85,8.87
2012-12-31,15.21,$1.84,8.28
2012-09-30,15.22,$1.79,8.5
2012-06-30,15.33,$1.74,8.83
2012-03-31,16.48,$1.83,9.02
2011-12-31,16.95,$1.62,10.47
2011-09-30,13.85,$1.56,8.85
2011-06-30,13.69,$1.36,10.04
2010-12-31,13.15,$1.11,11.85
2010-09-30,11.18,$1.05,10.6
2010-06-30,10.81,$1.09,9.91
2010-03-31,11.13,$1.05,10.55
2009-12-31,10.1,$0.93,10.89
2011-03-31,13.13,$0.94,14.02
