Insperity PE Ratio Historical Data,Insperity PE Ratio Historical Data,Insperity PE Ratio Historical Data,Insperity PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,88.91,,20.97
2024-06-30,90.6,$4.24,21.37
2024-03-31,108.87,$4.09,26.62
2023-12-31,115.78,$4.46,25.96
2023-09-30,95.93,$4.93,19.46
2023-06-30,116.25,$4.75,24.47
2023-03-31,118.23,$6.22,19.01
2022-12-31,110.03,$4.02,27.37
2022-09-30,98.45,$3.73,26.39
2022-03-31,95.87,$3.40,28.2
2021-12-31,112.18,$3.19,35.16
2021-09-30,102.96,$3.05,33.76
2021-06-30,83.67,$3.22,25.99
2021-03-31,77.15,$3.08,25.05
2020-12-31,74.7,$2.82,26.49
2022-06-30,95.81,$4.29,22.33
2020-09-30,59.81,$3.93,15.22
2020-06-30,58.74,$4.05,14.5
2020-03-31,33.64,$4.57,7.36
2019-12-31,77.13,$3.58,21.54
2019-09-30,88.07,$3.93,22.41
2019-03-31,109.82,$3.88,28.31
2018-12-31,82.71,$3.21,25.77
2018-09-30,104.28,$2.98,34.99
2018-06-30,84.07,$2.81,29.92
2018-03-31,61.26,$2.69,22.82
2017-12-31,50.37,$1.84,27.45
2019-06-30,108.75,$2.32,46.87
2017-09-30,37.89,$1.86,20.42
2017-06-30,30.45,$1.73,17.6
2017-03-31,37.89,$1.63,23.31
2016-12-31,30.23,$1.55,19.57
2016-09-30,30.85,$1.45,21.27
2016-06-30,32.68,$1.36,24.03
2016-03-31,21.81,$1.28,17.04
2015-12-31,20.22,$0.79,25.75
2015-09-30,18.35,$0.79,23.23
2015-06-30,21.16,$0.72,29.59
2015-03-31,21.64,$0.61,35.78
2014-12-31,13.98,$0.52,26.88
2014-09-30,10.55,$0.49,21.53
2014-06-30,12.65,$0.52,24.33
2014-03-31,11.81,$0.56,21.28
2013-12-31,13.69,$0.63,21.91
2013-09-30,14.18,$0.69,20.55
2013-06-30,11.37,$0.72,15.79
2013-03-31,10.58,$0.76,13.93
2012-12-31,12.08,$0.72,16.89
2012-09-30,9.01,$0.63,14.41
2012-06-30,9.59,$0.53,18.27
2011-12-31,8.88,$0.58,15.31
2011-09-30,7.74,$0.52,14.89
2011-06-30,10.24,$0.71,14.42
2011-03-31,10.46,$0.73,14.42
2010-12-31,10.03,$0.66,15.2
2012-03-31,10.79,$0.56,19.44
2010-09-30,9.18,$0.23,39.91
2010-06-30,8.19,$0.21,39.93
2010-03-31,7.19,$0.22,33.45
2009-12-31,7.89,$0.34,23.56
