TE Connectivity PE Ratio Historical Data,TE Connectivity PE Ratio Historical Data,TE Connectivity PE Ratio Historical Data,TE Connectivity PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,153.6,,13.81
2024-06-30,149.79,$11.12,13.47
2024-03-31,144.0,$10.93,13.17
2023-12-31,138.73,$10.54,13.16
2023-09-30,121.43,$6.02,20.17
2023-06-30,137.14,$6.48,21.16
2023-03-31,127.71,$6.64,19.23
2022-12-31,111.32,$6.99,15.93
2022-09-30,106.54,$7.47,14.26
2022-06-30,108.78,$7.66,14.2
2022-03-31,125.35,$7.57,16.56
2021-12-31,153.88,$7.37,20.88
2021-09-30,130.48,$6.79,19.22
2021-06-30,128.13,$5.08,25.22
2021-03-31,121.89,$3.22,37.85
2020-12-31,113.88,$0.34,334.93
2020-09-30,91.54,$-0.72,0.0
2020-06-30,75.98,$-0.31,0.0
2020-03-31,58.31,$2.04,28.58
2019-12-31,88.3,$4.70,18.79
2019-09-30,85.42,$5.42,15.76
2019-06-30,87.36,$9.07,9.63
2019-03-31,73.26,$8.13,9.01
2018-12-31,68.25,$8.22,8.3
2018-09-30,78.89,$7.31,10.79
2018-06-30,80.41,$3.78,21.27
2018-03-31,88.78,$3.71,23.93
2017-12-31,84.13,$3.46,24.31
2017-09-30,73.52,$4.71,15.61
2017-06-30,69.65,$4.71,14.79
2017-03-31,65.99,$5.81,11.36
2016-12-31,61.03,$5.71,10.69
2016-09-30,56.4,$5.48,10.29
2016-06-30,49.74,$6.83,7.28
2016-03-31,53.93,$5.26,10.25
2015-12-31,56.27,$5.68,9.91
2015-09-30,52.16,$5.91,8.83
2015-06-30,56.0,$4.93,11.36
2015-03-31,62.38,$5.15,12.11
2014-12-31,54.87,$4.57,12.01
2014-09-30,47.74,$4.27,11.18
2014-06-30,53.15,$3.60,14.76
2014-03-31,51.49,$3.43,15.01
2013-12-31,47.13,$3.21,14.68
2013-09-30,44.07,$3.02,14.59
2013-06-30,38.57,$3.02,12.77
2013-03-31,35.31,$2.68,13.18
2012-12-31,31.1,$2.63,11.82
2012-09-30,28.32,$2.59,10.93
2012-06-30,26.41,$2.42,10.91
2012-03-31,30.22,$2.76,10.95
2011-12-31,25.21,$2.83,8.91
2011-09-30,22.89,$2.81,8.15
2011-06-30,29.73,$2.72,10.93
2011-03-31,28.03,$2.64,10.62
2010-12-31,28.37,$2.63,10.79
2010-09-30,23.3,$2.41,9.67
2010-06-30,20.12,$1.95,10.32
2010-03-31,21.66,$1.07,20.24
2009-12-31,19.23,$-6.66,0.0
