Vipshop Holdings PE Ratio Historical Data,Vipshop Holdings PE Ratio Historical Data,Vipshop Holdings PE Ratio Historical Data,Vipshop Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.44,,6.84
2024-06-30,13.02,$2.11,6.17
2024-03-31,16.55,$2.15,7.7
2023-12-31,17.33,$2.03,8.54
2023-09-30,15.62,$1.81,8.63
2023-06-30,16.1,$1.89,8.52
2023-03-31,14.81,$1.66,8.92
2022-12-31,13.31,$1.45,9.18
2022-09-30,8.21,$1.24,6.62
2022-06-30,9.65,$1.00,9.65
2022-03-31,8.78,$0.95,9.24
2021-12-31,8.2,$1.03,7.96
2021-09-30,10.87,$1.25,8.7
2021-06-30,19.59,$1.38,14.2
2021-03-31,29.13,$1.46,19.96
2020-12-31,27.43,$1.27,21.6
2020-09-30,15.26,$1.04,14.67
2020-06-30,19.43,$0.95,20.45
2020-03-31,15.2,$0.81,18.77
2019-12-31,13.83,$0.86,16.08
2019-09-30,8.7,$0.70,12.43
2019-06-30,8.42,$0.57,14.77
2019-03-31,7.83,$0.54,14.51
2018-12-31,5.33,$0.47,11.33
2018-09-30,6.09,$0.49,12.43
2018-06-30,10.59,$0.52,20.36
2018-03-31,16.22,$0.46,35.25
2017-12-31,11.44,$0.47,24.33
2017-09-30,8.58,$0.48,17.87
2017-06-30,10.29,$0.49,21.01
2017-03-31,13.02,$0.51,25.52
2016-12-31,10.74,$0.50,21.49
2016-09-30,14.31,$0.44,32.53
2016-06-30,10.9,$0.43,25.35
2016-03-31,12.57,$0.43,29.23
2015-12-31,14.9,$0.41,36.34
2015-09-30,16.39,$0.38,43.14
2015-06-30,21.71,$0.35,62.03
2015-03-31,28.72,$0.28,101.14
2014-12-31,19.07,$0.23,81.48
2014-09-30,18.44,$0.19,98.62
2014-06-30,18.32,$0.16,115.94
2014-03-31,14.57,$0.13,112.06
2013-12-31,8.16,$0.09,89.72
2013-09-30,5.54,$0.06,92.37
2013-06-30,2.85,$0.04,79.03
2013-03-31,2.96,$0.01,0.0
2012-12-31,1.74,$-0.04,0.0
