Cytokinetics PE Ratio Historical Data,Cytokinetics PE Ratio Historical Data,Cytokinetics PE Ratio Historical Data,Cytokinetics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,54.53,,0.0
2024-06-30,54.18,$-5.37,0.0
2024-03-31,70.11,$-5.40,0.0
2023-12-31,83.49,$-5.45,0.0
2023-09-30,29.46,$-5.52,0.0
2023-06-30,32.62,$-5.69,0.0
2023-03-31,35.19,$-4.58,0.0
2022-12-31,45.82,$-4.25,0.0
2022-09-30,48.45,$-3.16,0.0
2022-06-30,39.29,$-2.59,0.0
2022-03-31,36.81,$-3.22,0.0
2021-12-31,45.58,$-2.83,0.0
2021-09-30,35.74,$-3.09,0.0
2021-06-30,19.79,$-2.19,0.0
2021-03-31,23.26,$-2.01,0.0
2020-12-31,20.78,$-2.01,0.0
2020-09-30,21.65,$-1.91,0.0
2020-06-30,23.57,$-2.36,0.0
2020-03-31,11.79,$-2.24,0.0
2019-12-31,10.61,$-2.12,0.0
2019-09-30,11.38,$-2.08,0.0
2019-06-30,11.25,$-1.98,0.0
2019-03-31,8.09,$-1.93,0.0
2018-12-31,6.32,$-1.95,0.0
2018-09-30,9.85,$-2.22,0.0
2018-06-30,8.3,$-2.42,0.0
2018-03-31,7.2,$-2.51,0.0
2017-12-31,8.15,$-2.57,0.0
2017-09-30,14.5,$-1.66,0.0
2017-06-30,12.1,$-0.32,0.0
2017-03-31,12.85,$-0.01,0.0
2016-12-31,12.15,$0.30,40.5
2016-09-30,9.18,$-0.10,0.0
2016-06-30,9.49,$-1.07,0.0
2016-03-31,7.05,$-1.05,0.0
2015-12-31,10.46,$-0.97,0.0
2015-09-30,6.69,$-0.50,0.0
2015-06-30,6.72,$-0.43,0.0
2015-03-31,6.78,$-0.39,0.0
2014-12-31,8.01,$-0.43,0.0
2014-09-30,3.52,$-0.45,0.0
2014-06-30,4.78,$-0.72,0.0
2014-03-31,9.5,$-1.07,0.0
2013-12-31,6.5,$-1.34,0.0
2013-09-30,7.57,$-1.97,0.0
2013-06-30,11.57,$-1.96,0.0
2013-03-31,6.84,$-2.16,0.0
2012-12-31,3.96,$-2.40,0.0
2012-09-30,5.0,$-2.94,0.0
2012-06-30,3.84,$-3.42,0.0
2012-03-31,6.9,$-4.02,0.0
2011-12-31,5.76,$-4.32,0.0
2011-09-30,7.02,$-4.38,0.0
2011-06-30,7.5,$-4.62,0.0
2011-03-31,8.94,$-4.50,0.0
2010-12-31,12.54,$-4.62,0.0
2010-09-30,15.84,$-4.86,0.0
2010-06-30,14.22,$-4.56,0.0
2010-03-31,19.2,$2.58,7.44
2009-12-31,17.46,$2.52,6.93
