Genpact PE Ratio Historical Data,Genpact PE Ratio Historical Data,Genpact PE Ratio Historical Data,Genpact PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.48,,10.87
2024-06-30,32.06,$3.54,9.06
2024-03-31,32.67,$3.50,9.33
2023-12-31,34.26,$3.43,9.99
2023-09-30,35.59,$2.32,15.34
2023-06-30,36.8,$2.19,16.8
2023-03-31,45.11,$1.94,23.25
2022-12-31,45.07,$1.88,23.97
2022-09-30,42.47,$1.78,23.86
2022-06-30,40.99,$1.80,22.77
2022-03-31,41.99,$1.95,21.53
2021-12-31,51.07,$1.91,26.74
2021-09-30,45.61,$1.91,23.88
2021-06-30,43.52,$1.81,24.05
2021-03-31,40.92,$1.60,25.58
2020-12-31,39.43,$1.57,25.11
2020-09-30,37.04,$1.61,23.01
2020-06-30,34.64,$1.63,21.25
2020-03-31,27.63,$1.69,16.35
2019-12-31,39.79,$1.56,25.51
2019-09-30,36.49,$1.55,23.54
2019-06-30,35.87,$1.48,24.24
2019-03-31,33.05,$1.43,23.11
2018-12-31,25.29,$1.45,17.44
2018-09-30,28.61,$1.38,20.73
2018-06-30,26.97,$1.38,19.55
2018-03-31,29.75,$1.41,21.1
2017-12-31,29.45,$1.34,21.98
2017-09-30,26.63,$1.38,19.3
2017-06-30,25.72,$1.33,19.34
2017-03-31,22.83,$1.28,17.84
2016-12-31,22.39,$1.32,16.96
2016-09-30,22.03,$1.25,17.62
2016-06-30,24.69,$1.20,20.57
2015-12-31,22.98,$1.09,21.08
2015-09-30,21.72,$1.00,21.72
2015-06-30,19.62,$0.96,20.44
2015-03-31,21.39,$0.89,24.03
2014-12-31,17.41,$0.91,19.14
2016-03-31,25.01,$0.91,27.48
2014-09-30,15.01,$0.85,17.66
2014-06-30,16.13,$0.94,17.15
2014-03-31,16.02,$0.99,16.19
2013-12-31,16.9,$0.98,17.24
2013-09-30,17.37,$1.00,17.37
2013-06-30,17.7,$0.81,21.85
2013-03-31,16.73,$0.81,20.66
2012-12-31,14.26,$0.78,18.28
2012-09-30,15.34,$0.82,18.71
2012-06-30,13.48,$0.92,14.65
2012-03-31,13.21,$0.82,16.12
2011-12-31,12.12,$0.81,14.96
2011-09-30,11.67,$0.74,15.77
2011-06-30,13.98,$0.71,19.69
2011-03-31,11.74,$0.66,17.79
2010-12-31,12.32,$0.63,19.56
2010-09-30,14.37,$0.59,24.36
2010-06-30,12.59,$0.56,22.48
2010-03-31,13.6,$0.58,23.44
2009-12-31,12.08,$0.59,20.47
