National Steel PE Ratio Historical Data,National Steel PE Ratio Historical Data,National Steel PE Ratio Historical Data,National Steel PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,2.09,,0.0
2024-06-30,2.3,$-0.03,0.0
2024-03-31,2.97,$0.09,33.0
2023-12-31,3.73,$0.05,74.58
2023-09-30,2.17,$-0.05,0.0
2023-06-30,2.35,$-0.03,0.0
2023-03-31,2.55,$-0.01,0.0
2022-12-31,2.21,$0.29,7.62
2022-09-30,1.76,$0.40,4.41
2022-06-30,2.17,$0.53,4.1
2022-03-31,3.94,$1.22,3.23
2021-12-31,3.2,$1.75,1.83
2021-09-30,3.79,$2.13,1.78
2021-06-30,6.14,$2.14,2.87
2021-03-31,4.63,$1.44,3.21
2020-12-31,4.11,$0.53,7.75
2020-09-30,2.03,$0.21,9.67
2020-06-30,1.35,$-0.12,0.0
2020-03-31,0.9,$0.15,6.02
2019-12-31,2.38,$0.36,6.61
2019-09-30,2.18,$0.48,4.54
2019-06-30,2.91,$0.77,3.78
2019-03-31,2.77,$0.69,4.02
2018-12-31,1.48,$0.69,2.14
2018-09-30,1.54,$0.37,4.16
2018-06-30,1.27,$0.24,5.29
2018-03-31,1.65,0,0.0
2017-12-31,1.54,0,0.0
2017-09-30,1.86,0,0.0
2017-06-30,1.35,$-0.02,0.0
2017-03-31,1.84,$-0.03,0.0
2016-12-31,2.03,$-0.19,0.0
2016-09-30,1.73,$0.25,6.94
2016-06-30,1.54,$0.16,9.62
2016-03-31,1.24,$0.02,61.9
2015-12-31,0.61,$0.27,2.27
2015-09-30,0.6,$-0.15,0.0
2015-06-30,1.04,$-0.11,0.0
2015-03-31,1.06,$0.05,21.12
2014-12-31,1.22,$-0.02,0.0
2014-09-30,2.07,$-0.18,0.0
2014-06-30,2.49,$0.04,62.21
2014-03-31,2.55,$0.19,13.4
2013-12-31,3.5,$0.18,19.47
2013-09-30,2.35,$0.43,5.47
2013-06-30,1.48,$0.34,4.37
2013-03-31,2.3,$-0.17,0.0
2012-12-31,2.98,$-0.14,0.0
2012-09-30,2.84,$0.06,47.37
2012-06-30,2.86,$0.44,6.5
2012-03-31,4.52,$1.27,3.56
2011-12-31,3.91,$1.42,2.75
2011-09-30,3.8,$1.29,2.94
2011-06-30,5.96,$1.13,5.27
2011-03-31,7.54,$0.98,7.69
2010-12-31,7.54,$0.97,7.77
2010-09-30,7.99,$1.33,6.01
2010-06-30,6.64,$1.93,3.44
2010-03-31,8.74,$1.83,4.78
2009-12-31,6.99,$1.85,3.78
