O-I Glass PE Ratio Historical Data,O-I Glass PE Ratio Historical Data,O-I Glass PE Ratio Historical Data,O-I Glass PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.09,,0.0
2024-06-30,11.13,$-1.92,0.0
2024-03-31,16.59,$-1.59,0.0
2023-12-31,16.38,$-0.75,0.0
2023-09-30,16.73,$2.38,7.03
2023-06-30,21.33,$3.51,6.08
2023-03-31,22.71,$4.41,5.15
2022-12-31,16.57,$3.67,4.51
2022-09-30,12.95,$3.86,3.35
2022-06-30,14.0,$2.94,4.76
2022-03-31,13.18,$2.08,6.34
2021-12-31,12.03,$0.91,13.22
2021-09-30,14.27,$0.46,31.02
2021-06-30,16.33,$1.99,8.21
2021-03-31,14.74,$0.62,23.77
2020-12-31,11.9,$1.56,7.63
2020-09-30,10.59,$1.94,5.46
2020-06-30,8.98,$-3.81,0.0
2020-03-31,7.11,$-2.75,0.0
2019-12-31,11.88,$-2.56,0.0
2019-09-30,10.17,$-2.82,0.0
2019-06-30,17.02,$1.62,10.51
2019-03-31,18.65,$1.79,10.42
2018-12-31,16.9,$0.47,35.95
2018-09-30,18.41,$1.29,14.28
2018-03-31,21.23,$1.39,15.27
2017-12-31,21.73,$1.10,19.75
2017-09-30,24.66,$1.47,16.77
2017-06-30,23.44,$1.02,22.98
2017-03-31,19.97,$0.83,24.06
2016-12-31,17.06,$1.17,14.58
2018-06-30,16.47,$2.02,8.16
2016-09-30,18.02,$0.45,40.05
2016-06-30,17.65,$-0.11,0.0
2016-03-31,15.64,$-0.31,0.0
2015-12-31,17.07,$-1.52,0.0
2015-09-30,20.31,$0.11,184.6
2015-03-31,22.85,$0.69,33.12
2014-12-31,26.45,$0.86,30.76
2014-09-30,25.53,$0.78,32.73
2014-06-30,33.95,$1.19,28.53
2014-03-31,33.15,$1.30,25.5
2013-12-31,35.07,$1.17,29.97
2013-09-30,29.42,$1.08,27.24
2013-06-30,27.24,$0.84,32.42
2013-03-31,26.12,$0.86,30.37
2012-12-31,20.85,$1.11,18.78
2012-09-30,18.39,$-2.62,0.0
2012-06-30,18.79,$-2.46,0.0
2012-03-31,22.87,$-2.84,0.0
2011-12-31,18.99,$-3.13,0.0
2011-09-30,14.82,$-0.95,0.0
2011-06-30,25.29,$-0.81,0.0
2011-03-31,29.59,$-0.39,0.0
2010-12-31,30.09,$-0.33,0.0
2010-09-30,27.5,$1.24,22.18
2010-06-30,25.92,$0.65,39.88
2010-03-31,34.83,$0.54,64.5
2009-12-31,32.21,$0.92,35.02
2015-06-30,22.48,$2.14,10.51
