Global Industrial PE Ratio Historical Data,Global Industrial PE Ratio Historical Data,Global Industrial PE Ratio Historical Data,Global Industrial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,34.68,,19.27
2024-06-30,31.11,$1.80,17.28
2024-03-31,44.11,$1.84,23.97
2023-12-31,38.05,$1.85,20.57
2023-09-30,32.64,$1.81,18.03
2023-06-30,26.89,$1.80,14.94
2023-03-31,25.77,$1.84,14.01
2022-12-31,22.43,$2.07,10.83
2022-09-30,25.4,$2.84,8.94
2022-06-30,31.8,$2.92,10.89
2022-03-31,30.18,$2.89,10.44
2021-12-31,38.08,$2.70,14.1
2021-09-30,34.29,$1.98,17.32
2021-06-30,33.09,$2.02,16.38
2021-03-31,36.88,$1.88,19.62
2020-12-31,32.05,$1.70,18.85
2020-09-30,20.13,$1.59,12.66
2020-06-30,17.17,$1.27,13.52
2020-03-31,14.72,$1.22,12.06
2019-12-31,19.68,$1.26,15.62
2019-09-30,17.13,$1.31,13.07
2019-06-30,17.14,$5.70,3.01
2019-03-31,17.42,$5.80,3.0
2018-12-31,18.27,$5.93,3.08
2018-09-30,19.72,$6.47,3.05
2018-06-30,20.49,$2.04,10.04
2018-03-31,16.5,$1.93,8.55
2017-12-31,18.3,$1.05,17.43
2017-09-30,14.49,$0.10,144.86
2017-06-30,10.26,$-0.35,0.0
2017-03-31,6.01,$-0.92,0.0
2016-12-31,4.73,$-0.89,0.0
2016-09-30,4.24,$-1.70,0.0
2016-06-30,4.54,$-1.82,0.0
2016-03-31,4.67,$-2.39,0.0
2015-12-31,4.58,$-2.61,0.0
2015-09-30,3.99,$-1.82,0.0
2015-06-30,4.6,$-1.71,0.0
2014-12-31,7.19,$-1.02,0.0
2014-09-30,6.64,$-0.87,0.0
2014-06-30,7.65,$-1.56,0.0
2014-03-31,7.94,$-1.70,0.0
2013-12-31,5.99,$-1.78,0.0
2015-03-31,6.51,$-1.41,0.0
2013-09-30,4.94,$-1.37,0.0
2013-06-30,5.01,$-0.68,0.0
2013-03-31,5.27,$-0.58,0.0
2012-12-31,5.14,$-0.22,0.0
2012-09-30,6.14,$0.91,6.74
2012-06-30,6.14,$0.82,7.49
2012-03-31,8.76,$1.30,6.74
2011-12-31,8.53,$1.47,5.8
2011-09-30,6.61,$1.41,4.69
2011-06-30,7.76,$1.35,5.75
2011-03-31,7.02,$1.18,5.95
2010-12-31,7.33,$1.13,6.48
2010-09-30,6.38,$1.28,4.98
2010-06-30,7.83,$1.39,5.63
2010-03-31,11.3,$1.31,8.62
2009-12-31,8.16,$1.23,6.64
