Gerdau S.A PE Ratio Historical Data,Gerdau S.A PE Ratio Historical Data,Gerdau S.A PE Ratio Historical Data,Gerdau S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,3.18,,6.51
2024-06-30,3.28,$0.49,6.71
2024-03-31,3.61,$0.61,5.93
2023-12-31,3.94,$0.70,5.63
2023-09-30,3.8,$0.81,4.7
2023-06-30,4.09,$0.93,4.4
2023-03-31,3.78,$1.13,3.33
2022-12-31,4.01,$1.10,3.64
2022-09-30,3.05,$1.23,2.48
2022-06-30,2.81,$1.45,1.93
2022-03-31,4.12,$1.39,2.97
2021-12-31,3.13,$1.33,2.35
2021-09-30,2.93,$1.13,2.6
2021-06-30,3.4,$1.00,3.4
2021-03-31,3.04,$0.68,4.46
2020-12-31,2.65,$0.50,5.3
2020-09-30,2.07,$0.42,4.93
2020-06-30,1.66,$0.09,19.03
2020-03-31,1.07,$0.11,9.65
2019-12-31,2.74,$0.14,19.2
2019-09-30,1.76,$0.18,9.63
2019-06-30,2.16,$0.25,8.78
2019-03-31,2.15,$0.29,7.54
2018-12-31,2.09,$0.29,7.11
2018-09-30,2.34,$0.05,49.09
2018-06-30,1.95,$-0.02,0.0
2018-03-31,2.55,$0.01,0.0
2017-12-31,2.03,$-0.44,0.0
2017-09-30,1.87,$-0.23,0.0
2017-03-31,1.88,$-0.25,0.0
2016-12-31,1.71,$-0.36,0.0
2016-09-30,1.48,$-0.35,0.0
2016-06-30,0.99,$-0.63,0.0
2016-03-31,0.96,$-0.60,0.0
2015-12-31,0.65,$-0.56,0.0
2015-09-30,0.74,$-0.10,0.0
2015-06-30,1.28,$0.21,5.99
2015-03-31,1.69,$0.25,6.89
2014-12-31,1.87,$0.28,6.72
2014-09-30,2.51,$0.29,8.79
2014-06-30,3.07,$0.37,8.4
2014-03-31,3.32,$0.37,8.91
2013-12-31,4.04,$0.33,12.43
2013-09-30,3.82,$0.27,14.16
2013-06-30,2.91,$0.23,12.65
2013-03-31,3.93,$0.27,14.55
2012-12-31,4.57,$0.33,13.72
2012-09-30,4.82,$0.42,11.45
2012-06-30,4.42,$0.53,8.31
2012-03-31,4.84,$0.56,8.71
2011-12-31,3.91,$0.59,6.65
2011-09-30,3.53,$0.60,5.86
2011-06-30,5.18,$0.58,8.94
2011-03-31,6.13,$0.67,9.19
2010-12-31,6.84,$0.70,9.8
2010-09-30,6.62,$0.81,8.18
2010-06-30,6.37,$0.82,7.8
2010-03-31,7.84,$0.52,15.2
2009-12-31,8.15,$0.38,21.39
2009-09-30,6.4,$0.14,44.8
