Driven Brands Holdings PE Ratio Historical Data,Driven Brands Holdings PE Ratio Historical Data,Driven Brands Holdings PE Ratio Historical Data,Driven Brands Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.55,,0.0
2024-06-30,12.73,$-4.70,0.0
2024-03-31,15.79,$-4.66,0.0
2023-12-31,14.26,$-4.52,0.0
2023-09-30,12.59,$-4.28,0.0
2023-06-30,27.06,$0.78,34.69
2023-03-31,30.31,$0.22,137.77
2022-12-31,27.31,$0.25,109.24
2022-09-30,27.98,$-0.14,0.0
2022-06-30,27.54,$-0.18,0.0
2022-03-31,26.28,$0.37,71.03
2021-12-31,33.62,$0.04,840.5
