Constellation Brands Inc PE Ratio Historical Data,Constellation Brands Inc PE Ratio Historical Data,Constellation Brands Inc PE Ratio Historical Data,Constellation Brands Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,240.71,,17.94
2024-05-31,249.19,$13.42,18.57
2024-02-29,246.5,$9.38,26.28
2023-11-30,237.67,$8.45,28.13
2023-08-31,256.55,$8.21,31.25
2023-05-31,238.45,$-1.83,0.0
2023-02-28,218.67,$-0.51,0.0
2022-11-30,250.69,$0.35,716.27
2022-08-31,238.89,$0.31,770.63
2022-05-31,237.55,$6.62,35.88
2022-02-28,208.01,$-0.18,0.0
2021-11-30,216.68,$-0.30,0.0
2021-08-31,202.34,$3.77,53.67
2021-05-31,228.92,$6.38,35.88
2021-02-28,203.86,$10.18,20.03
2020-11-30,195.32,$10.27,19.02
2020-08-31,174.34,$5.57,31.3
2020-05-31,162.49,$0.18,902.74
2020-02-29,161.45,$-0.18,0.0
2019-11-30,173.61,$4.15,41.83
2019-08-31,189.93,$3.86,49.21
2019-05-31,164.0,$12.50,13.12
2019-02-28,156.64,$17.57,8.92
2018-11-30,180.5,$15.84,11.4
2018-08-31,191.27,$16.72,11.44
2018-05-31,204.23,$13.33,15.32
2018-02-28,196.62,$11.82,16.63
2017-11-30,198.05,$9.16,21.62
2017-08-31,181.69,$8.47,21.45
2017-02-28,143.4,$7.54,19.02
2016-11-30,136.12,$6.47,21.04
2016-08-31,147.38,$6.49,22.71
2016-05-31,137.25,$6.07,22.61
2016-02-29,126.43,$6.01,21.04
2017-05-31,165.5,$6.00,27.58
2015-11-30,125.1,$5.06,24.72
2015-08-31,113.9,$4.83,23.58
2015-05-31,104.64,$4.13,25.34
2015-02-28,101.55,$4.02,25.26
2014-11-30,85.34,$10.70,7.98
2014-02-28,71.73,$9.87,7.27
2013-11-30,62.33,$9.51,6.55
2013-08-31,48.02,$9.42,5.1
2013-05-31,46.93,$2.26,20.76
2013-02-28,39.16,$2.66,14.72
2014-08-31,77.09,$2.61,29.54
2012-11-30,31.76,$2.14,14.84
2012-08-31,29.16,$2.08,14.02
2012-05-31,17.08,$2.17,7.87
2012-02-29,19.33,$2.14,9.03
2011-11-30,17.24,$2.95,5.84
2011-08-31,17.5,$3.09,5.66
2011-05-31,19.44,$2.76,7.04
2011-02-28,17.99,$2.63,6.84
2010-11-30,18.24,$1.08,16.89
2010-08-31,14.75,$0.62,23.79
2010-05-31,14.75,$0.64,23.04
2010-02-28,13.31,$0.45,29.59
2009-11-30,15.15,$-1.20,0.0
2009-08-31,13.09,$-0.37,0.0
