Primoris Services PE Ratio Historical Data,Primoris Services PE Ratio Historical Data,Primoris Services PE Ratio Historical Data,Primoris Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,62.33,,21.95
2024-06-30,49.84,$2.84,17.55
2024-03-31,42.47,$2.65,16.03
2023-12-31,33.09,$2.32,14.26
2023-09-30,32.55,$2.40,13.56
2023-06-30,30.25,$2.31,13.09
2023-03-31,24.43,$2.52,9.7
2022-12-31,21.68,$2.47,8.78
2022-09-30,16.02,$2.24,7.15
2022-06-30,21.37,$2.25,9.5
2022-03-31,23.33,$1.99,11.72
2021-12-31,23.43,$2.14,10.95
2021-09-30,23.87,$2.26,10.56
2021-06-30,28.61,$2.35,12.18
2021-03-31,32.14,$2.36,13.62
2020-12-31,26.74,$2.16,12.38
2020-09-30,17.43,$2.03,8.59
2020-06-30,17.11,$1.83,9.35
2020-03-31,15.26,$1.50,10.17
2019-12-31,21.26,$1.62,13.12
2019-09-30,18.7,$1.72,10.87
2019-06-30,19.89,$1.65,12.06
2019-03-31,19.6,$1.53,12.81
2018-12-31,18.08,$1.50,12.05
2018-09-30,23.38,$1.31,17.85
2018-06-30,25.59,$1.08,23.69
2018-03-31,23.42,$1.27,18.44
2017-12-31,25.43,$1.41,18.04
2017-09-30,27.46,$1.25,21.97
2017-06-30,23.24,$0.94,24.72
2017-03-31,21.59,$0.62,34.82
2016-12-31,21.13,$0.52,40.63
2016-09-30,19.06,$0.48,39.71
2016-06-30,17.47,$0.76,22.99
2016-03-31,22.36,$0.73,30.62
2015-12-31,20.22,$0.71,28.48
2015-09-30,16.4,$0.64,25.62
2015-06-30,18.07,$0.80,22.59
2015-03-31,15.65,$1.04,15.04
2014-12-31,21.11,$1.22,17.3
2014-09-30,24.33,$1.49,16.33
2014-06-30,26.11,$1.38,18.92
2014-03-31,27.11,$1.37,19.79
2013-12-31,28.12,$1.49,18.87
2013-09-30,22.99,$1.39,16.54
2013-06-30,17.77,$1.20,14.8
2012-12-31,13.51,$1.10,12.28
2012-09-30,11.7,$1.01,11.58
2012-06-30,10.73,$0.86,12.48
2012-03-31,14.32,$1.01,14.18
2011-12-31,13.29,$1.09,12.19
2013-03-31,19.88,$1.09,18.24
2011-09-30,9.29,$1.14,8.15
2011-06-30,11.43,$0.93,12.29
2011-03-31,8.97,$0.81,11.07
2010-12-31,8.41,$0.72,11.69
2010-09-30,5.75,$0.58,9.92
2010-06-30,5.52,$0.64,8.62
2010-03-31,6.76,$0.74,9.13
2009-12-31,6.93,$0.76,9.12
