Buckle PE Ratio Historical Data,Buckle PE Ratio Historical Data,Buckle PE Ratio Historical Data,Buckle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,44.14,,10.77
2024-07-31,42.84,$4.10,10.45
2024-04-30,36.75,$4.24,8.67
2024-01-31,36.22,$4.41,8.21
2023-10-31,30.7,$4.58,6.7
2023-07-31,32.89,$4.78,6.88
2023-04-30,29.85,$4.87,6.13
2023-01-31,38.78,$5.13,7.56
2022-10-31,32.5,$5.06,6.42
2022-07-31,24.71,$5.08,4.86
2022-04-30,25.08,$5.11,4.91
2022-01-31,30.07,$5.15,5.84
2021-10-31,29.08,$4.79,6.07
2021-07-31,29.17,$4.38,6.66
2021-04-30,28.87,$4.05,7.13
2021-01-31,26.86,$2.65,10.14
2020-10-31,15.2,$2.28,6.67
2020-07-31,10.04,$1.96,5.12
2020-04-30,9.59,$1.59,6.03
2020-01-31,15.29,$2.14,7.15
2019-10-31,12.35,$2.02,6.11
2019-07-31,11.87,$1.91,6.21
2019-04-30,10.62,$1.89,5.62
2019-01-31,9.85,$1.96,5.02
2018-10-31,10.83,$1.99,5.44
2018-07-31,12.6,$1.98,6.36
2018-04-30,11.95,$1.90,6.29
2018-01-31,10.28,$1.86,5.53
2017-10-31,7.72,$1.73,4.46
2017-07-31,7.89,$1.80,4.39
2017-04-30,8.5,$1.88,4.52
2017-01-31,9.49,$2.02,4.7
2016-10-31,8.95,$2.41,3.71
2016-07-31,11.62,$2.67,4.35
2016-04-30,12.16,$2.84,4.28
2016-01-31,11.84,$3.06,3.87
2015-10-31,14.11,$3.18,4.44
2015-07-31,17.5,$3.28,5.33
2015-04-30,17.63,$3.30,5.34
2015-01-31,19.9,$3.38,5.89
2014-10-31,18.23,$3.36,5.43
2014-07-31,16.37,$3.37,4.86
2014-04-30,17.2,$3.38,5.09
2014-01-31,16.14,$3.38,4.78
2013-10-31,17.3,$3.43,5.04
2013-07-31,19.7,$3.46,5.69
2013-04-30,17.03,$3.43,4.96
2013-01-31,16.34,$3.44,4.75
2012-10-31,14.31,$3.34,4.29
2012-07-31,12.2,$3.27,3.73
2012-04-30,14.49,$3.28,4.42
2012-01-31,13.63,$3.20,4.26
2011-10-31,13.85,$3.07,4.51
2011-07-31,13.06,$2.99,4.37
2011-04-30,13.35,$2.93,4.56
2011-01-31,10.44,$2.86,3.65
2010-10-31,7.9,$2.71,2.92
2010-07-31,7.44,$2.69,2.76
2010-04-30,9.7,$2.79,3.48
2010-01-31,8.09,$2.73,2.96
2009-10-31,7.95,$2.57,3.09
