Hershey PE Ratio Historical Data,Hershey PE Ratio Historical Data,Hershey PE Ratio Historical Data,Hershey PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,193.06,,21.45
2024-06-30,182.54,$9.00,20.28
2024-03-31,191.87,$10.09,19.02
2023-12-31,182.61,$9.05,20.18
2023-09-30,195.97,$9.27,21.14
2023-06-30,243.24,$8.69,27.99
2023-03-31,246.87,$8.24,29.96
2022-12-31,223.72,$7.96,28.11
2022-09-30,212.0,$7.66,27.68
2022-06-30,205.97,$7.86,26.21
2022-03-31,206.47,$7.78,26.54
2021-12-31,183.58,$6.60,27.82
2021-09-30,159.8,$7.12,22.44
2021-06-30,163.64,$6.27,26.1
2020-12-31,141.7,$6.11,23.19
2020-09-30,132.63,$5.70,23.27
2020-06-30,119.28,$5.46,21.85
2020-03-31,121.2,$5.71,21.23
2019-12-31,133.8,$5.90,22.68
2021-03-31,147.9,$6.37,23.22
2019-09-30,140.35,$6.07,23.12
2019-06-30,120.78,$5.78,20.9
2019-03-31,102.91,$5.38,19.13
2018-12-31,95.43,$5.58,17.1
2018-09-30,90.21,$4.83,18.68
2018-06-30,81.71,$4.86,16.81
2018-03-31,86.27,$4.73,18.24
2017-12-31,98.29,$3.66,26.86
2017-09-30,93.96,$3.36,27.97
2017-06-30,91.85,$3.14,29.25
2017-03-31,92.95,$2.87,32.39
2016-12-31,87.5,$3.35,26.12
2016-09-30,80.37,$3.78,21.26
2016-06-30,94.89,$3.42,27.75
2016-03-31,76.51,$2.27,33.7
2015-12-31,73.68,$2.31,31.9
2015-09-30,75.33,$2.24,33.63
2015-06-30,72.35,$2.54,28.49
2015-03-31,81.73,$3.76,21.74
2014-12-31,83.75,$3.77,22.22
2014-09-30,76.48,$3.68,20.78
2014-06-30,77.58,$3.71,20.91
2014-03-31,82.77,$3.66,22.61
2013-12-31,76.74,$3.61,21.26
2013-09-30,72.64,$3.45,21.05
2013-06-30,69.75,$3.19,21.86
2013-03-31,68.06,$3.08,22.1
2012-12-31,55.86,$2.89,19.33
2012-09-30,54.52,$2.85,19.13
2012-06-30,55.11,$2.94,18.74
2012-03-31,46.66,$2.91,16.03
2011-12-31,46.7,$2.74,17.05
2011-09-30,44.51,$2.71,16.42
2011-06-30,42.46,$2.63,16.14
2011-03-31,40.34,$2.27,17.77
2010-12-31,34.76,$2.21,15.73
2010-09-30,34.85,$2.17,16.06
2010-06-30,34.86,$2.10,16.6
2010-03-31,30.92,$2.21,13.99
2009-12-31,25.64,$1.90,13.5
