Viridian Therapeutics PE Ratio Historical Data,Viridian Therapeutics PE Ratio Historical Data,Viridian Therapeutics PE Ratio Historical Data,Viridian Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.26,,0.0
2024-06-30,13.01,$-4.25,0.0
2024-03-31,17.51,$-4.50,0.0
2023-12-31,21.78,$-5.32,0.0
2023-09-30,15.34,$-5.10,0.0
2023-06-30,23.79,$-4.87,0.0
2023-03-31,25.44,$-4.66,0.0
2022-12-31,29.21,$-4.03,0.0
2022-09-30,20.51,$-4.22,0.0
2022-06-30,11.57,$-4.61,0.0
2022-03-31,18.49,$-5.76,0.0
2021-12-31,19.77,$-7.69,0.0
2021-09-30,16.45,$-29.44,0.0
2021-06-30,18.29,$-29.69,0.0
2021-03-31,16.71,$-29.28,0.0
2020-12-31,16.45,$-29.07,0.0
2020-09-30,11.63,$-10.64,0.0
2020-06-30,16.65,$-14.54,0.0
2020-03-31,6.69,$-17.09,0.0
2019-12-31,7.2,$-20.09,0.0
2019-09-30,10.97,$-20.39,0.0
2019-06-30,30.75,$-19.34,0.0
2019-03-31,41.85,$-19.34,0.0
2018-12-31,45.45,$-16.34,0.0
2018-09-30,83.7,$-15.74,0.0
2018-06-30,96.15,$-15.44,0.0
2018-03-31,105.15,$-16.19,0.0
2017-12-31,156.45,$-22.49,0.0
2017-09-30,137.25,$-133.88,0.0
2017-06-30,193.95,$-129.84,0.0
2017-03-31,186.6,$-176.44,0.0
2016-12-31,75.15,$-225.88,0.0
2016-09-30,112.5,$-173.08,0.0
2016-06-30,95.62,$-260.74,0.0
2016-03-31,114.75,$-283.22,0.0
2015-12-31,168.3,$-325.92,0.0
2015-09-30,208.35,$-262.99,0.0
2015-06-30,492.75,$-271.98,0.0
2015-03-31,483.75,$-197.80,0.0
