Cogent Communications Holdings PE Ratio Historical Data,Cogent Communications Holdings PE Ratio Historical Data,Cogent Communications Holdings PE Ratio Historical Data,Cogent Communications Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,84.95,,93.35
2024-06-30,55.68,$0.91,61.19
2024-03-31,63.4,$25.24,2.51
2023-12-31,72.72,$26.75,2.72
2023-09-30,58.34,$22.60,2.58
2023-06-30,62.55,$23.63,2.65
2023-03-31,58.36,$0.22,265.27
2022-12-31,51.5,$0.11,468.15
2022-09-30,46.32,$0.48,96.49
2022-06-30,53.13,$0.93,57.13
2022-03-31,57.16,$0.64,89.31
2021-12-31,62.18,$1.03,60.37
2021-09-30,59.57,$0.50,119.13
2021-06-30,63.93,$0.11,581.15
2021-03-31,56.59,$0.34,166.45
2020-12-31,48.68,$0.13,374.48
2020-09-30,48.23,$0.43,112.15
2020-06-30,61.48,$0.84,73.19
2020-03-31,64.56,$0.82,78.73
2019-12-31,51.39,$0.82,62.68
2019-09-30,42.59,$0.82,51.95
2019-06-30,45.42,$0.70,64.88
2019-03-31,41.09,$0.68,60.42
2018-12-31,33.84,$0.63,53.71
2018-09-30,41.29,$0.33,125.11
2018-06-30,39.11,$0.23,170.06
2018-03-31,31.47,$0.19,165.61
2017-12-31,32.47,$0.13,249.78
2017-09-30,34.69,$0.36,96.37
2017-06-30,28.15,$0.36,78.2
2017-03-31,29.89,$0.35,85.41
2016-12-31,28.41,$0.34,83.55
2016-09-30,25.03,$0.31,80.74
2016-06-30,26.96,$0.30,89.86
2016-03-31,26.01,$0.23,113.1
2015-12-31,22.89,$0.11,208.09
2015-09-30,17.73,$0.04,443.35
2015-06-30,21.84,$-0.03,0.0
2015-03-31,22.57,$-0.02,0.0
2014-12-31,22.41,$0.02,1120.33
2014-09-30,21.09,$1.11,19.0
2014-06-30,21.5,$1.16,18.53
2014-03-31,22.11,$1.16,19.06
2013-12-31,25.14,$1.17,21.49
2013-09-30,19.87,$0.08,248.35
2013-06-30,17.26,$0.03,575.48
2013-03-31,16.12,$-0.04,0.0
2012-12-31,13.75,$-0.10,0.0
2012-09-30,13.9,$0.03,463.17
2012-06-30,11.57,$0.04,289.24
2012-03-31,11.47,$0.13,88.26
2011-12-31,10.16,$0.17,59.74
2011-09-30,8.09,$0.11,73.53
2011-06-30,10.23,$0.09,113.65
2011-03-31,8.57,$0.02,428.46
2010-12-31,8.5,$0.02,425.15
2010-09-30,5.69,$-0.07,0.0
2010-06-30,4.56,$-0.13,0.0
2010-03-31,6.26,$-0.21,0.0
2009-12-31,5.93,$-0.39,0.0
