CocaCola PE Ratio Historical Data,CocaCola PE Ratio Historical Data,CocaCola PE Ratio Historical Data,CocaCola PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,72.47,,29.34
2024-06-30,63.65,$2.47,25.77
2024-03-31,60.71,$2.50,24.28
2023-12-31,58.01,$2.48,23.39
2023-09-30,54.68,$2.49,21.96
2023-06-30,58.36,$2.43,24.02
2023-03-31,59.67,$2.28,26.17
2022-12-31,60.72,$2.20,27.6
2022-09-30,53.11,$2.29,23.19
2022-06-30,59.2,$2.21,26.79
2022-03-31,57.92,$2.38,24.33
2021-12-31,54.9,$2.26,24.29
2021-09-30,48.26,$2.04,23.66
2021-06-30,49.4,$1.87,26.42
2021-03-31,47.76,$1.67,28.6
2020-12-31,49.28,$1.79,27.53
2020-09-30,44.01,$1.92,22.92
2020-06-30,39.51,$2.12,18.64
2020-03-31,38.78,$2.32,16.72
2019-12-31,48.11,$2.07,23.24
2019-09-30,46.96,$1.80,26.09
2019-06-30,43.6,$1.64,26.59
2019-03-31,39.82,$1.57,25.36
2018-12-31,39.88,$1.50,26.59
2018-09-30,38.6,$0.65,59.38
2018-06-30,36.34,$0.54,67.3
2018-03-31,35.67,$0.32,111.46
2017-12-31,37.35,$0.27,138.32
2017-09-30,36.34,$1.05,34.61
2017-06-30,35.93,$0.96,37.42
2017-03-31,33.72,$1.43,23.58
2016-12-31,32.65,$1.50,21.77
2016-09-30,33.05,$1.65,20.03
2016-06-30,35.11,$1.74,20.18
2016-03-31,35.65,$1.66,21.48
2015-12-31,32.76,$1.67,19.62
2015-09-30,30.37,$1.56,19.47
2015-06-30,29.44,$1.71,17.22
2015-03-31,30.18,$1.58,19.1
2014-12-31,31.17,$1.59,19.6
2014-09-30,31.28,$1.80,17.38
2014-06-30,30.83,$1.86,16.58
2014-03-31,27.93,$1.87,14.94
2013-12-31,29.61,$1.90,15.58
2013-09-30,26.96,$1.93,13.97
2013-06-30,28.34,$1.89,15.0
2013-03-31,28.38,$1.91,14.9
2012-12-31,25.26,$1.96,12.89
2012-09-30,26.25,$1.91,13.74
2012-06-30,26.87,$1.89,14.26
2012-03-31,25.26,$1.88,13.44
2011-12-31,23.71,$1.85,12.85
2011-09-30,22.73,$2.72,8.37
2011-06-30,22.49,$2.68,8.39
2011-03-31,22.01,$2.59,8.5
2010-12-31,21.67,$2.53,8.58
2010-09-30,19.15,$1.63,11.78
2010-06-30,16.28,$1.59,10.24
2010-03-31,17.71,$1.52,11.65
2009-12-31,18.2,$1.47,12.43
