Deutsche Bank Aktiengesellschaft PE Ratio Historical Data,Deutsche Bank Aktiengesellschaft PE Ratio Historical Data,Deutsche Bank Aktiengesellschaft PE Ratio Historical Data,Deutsche Bank Aktiengesellschaft PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.5,,15.49
2024-06-30,15.94,$1.13,14.11
2023-12-31,13.2,$2.19,6.03
2023-09-30,10.71,$1.47,7.28
2023-06-30,10.26,$1.21,8.48
2023-03-31,9.65,$1.62,5.96
2022-09-30,7.0,$1.42,4.93
2022-06-30,8.26,$1.27,6.51
2022-03-31,11.71,$-0.94,0.0
2021-06-30,12.11,$-1.56,0.0
2020-06-30,8.81,$-2.24,0.0
2019-06-30,7.06,$-1.97,0.0
2019-03-31,7.4,$-0.07,0.0
2018-12-31,7.43,0,0.0
2018-09-30,10.36,$-1.12,0.0
2018-06-30,9.68,$-0.89,0.0
2018-03-31,12.61,$-0.85,0.0
2017-12-31,17.17,$-0.50,0.0
2017-09-30,15.59,$-0.62,0.0
2017-06-30,16.05,$-0.77,0.0
2017-03-31,15.48,$-1.06,0.0
2016-12-31,16.33,$-1.31,0.0
2016-09-30,11.81,$-1.52,0.0
2016-06-30,12.39,$-6.56,0.0
2016-03-31,15.28,$-5.91,0.0
2015-12-31,21.79,$-5.66,0.0
2015-09-30,24.32,$-3.63,0.0
2015-06-30,27.21,$1.12,24.29
2015-03-31,30.54,$0.96,31.81
2014-12-31,26.39,$1.97,13.4
2014-09-30,30.65,$-0.21,0.0
2014-06-30,30.93,$-0.07,0.0
2014-03-31,38.45,$0.07,549.3
2013-12-31,41.38,$0.89,46.49
2013-09-30,39.35,$5.84,6.74
2013-06-30,35.98,$6.80,5.29
2013-03-31,32.86,$7.21,4.56
2012-12-31,37.2,$6.86,5.42
2012-09-30,33.3,$3.94,8.45
2012-06-30,30.38,$3.96,7.67
2012-03-31,40.69,$4.91,8.29
2011-12-31,30.94,$5.92,5.23
2011-09-30,28.28,$6.59,4.29
2011-06-30,48.41,$3.13,15.47
2011-03-31,47.4,$3.58,13.24
2010-12-31,41.77,$4.26,9.81
2010-09-30,44.08,$6.34,6.95
2010-06-30,45.07,$11.88,3.79
2010-03-31,60.75,$11.88,5.11
2009-12-31,56.04,$10.82,5.18
2009-09-30,60.67,$8.62,7.04
