Johnson Controls PE Ratio Historical Data,Johnson Controls PE Ratio Historical Data,Johnson Controls PE Ratio Historical Data,Johnson Controls PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,72.85,,30.48
2024-06-30,66.47,$2.39,27.81
2024-03-31,64.97,$2.47,26.3
2023-12-31,57.0,$3.07,18.57
2023-09-30,52.25,$2.69,19.42
2023-06-30,66.47,$2.99,22.23
2023-03-31,58.41,$2.01,29.06
2022-12-31,61.69,$1.84,33.53
2022-09-30,47.18,$2.21,21.35
2022-06-30,45.58,$1.49,30.59
2022-03-31,61.97,$1.74,35.61
2021-12-31,76.43,$2.20,34.74
2021-09-30,63.71,$2.28,27.95
2021-06-30,63.99,$2.50,25.6
2021-03-31,55.41,$1.46,37.95
2020-12-31,43.07,$1.26,34.18
2020-09-30,37.55,$0.85,44.18
2020-06-30,31.18,$1.02,30.57
2020-03-31,24.44,$6.05,4.04
2019-12-31,36.61,$6.34,5.78
2019-09-30,39.22,$6.51,6.02
2019-06-30,36.7,$6.57,5.59
2019-03-31,32.61,$2.56,12.74
2018-12-31,25.98,$2.46,10.56
2018-09-30,30.42,$2.33,13.06
2018-06-30,28.87,$2.43,11.88
2018-03-31,30.19,$2.24,13.48
2017-12-31,32.42,$1.93,16.8
2017-09-30,34.03,$2.03,16.76
2017-06-30,36.4,$-0.51,0.0
2017-03-31,35.15,$-0.51,0.0
2016-12-31,34.17,$-0.32,0.0
2016-09-30,34.28,$-0.48,0.0
2016-06-30,32.54,$1.29,25.26
2016-03-31,27.89,$1.09,25.61
2015-12-31,24.06,$1.14,21.08
2015-09-30,25.1,$1.35,18.58
2015-06-30,28.71,$0.98,29.17
2015-03-31,31.97,$3.85,8.3
2014-12-31,32.43,$3.91,8.3
2014-09-30,32.8,$4.10,7.99
2014-06-30,33.43,$4.68,7.14
2014-03-31,30.95,$1.72,18.02
2013-12-31,29.84,$1.42,20.96
2013-09-30,25.18,$1.18,21.28
2013-06-30,23.48,$-0.14,0.0
2013-03-31,22.68,$0.10,216.83
2012-12-31,20.63,$0.67,30.79
2012-09-30,19.67,$1.06,18.6
2012-06-30,18.39,$2.90,6.34
2012-03-31,19.46,$3.16,6.15
2011-12-31,16.1,$3.12,5.16
2011-09-30,13.97,$3.78,3.69
2011-06-30,16.85,$3.45,4.89
2011-03-31,15.18,$3.18,4.77
2010-12-31,13.99,$3.17,4.41
2010-09-30,12.33,$2.43,5.07
2010-06-30,11.76,$2.32,5.06
2010-03-31,12.69,$2.42,5.25
2009-12-31,11.78,$-3.95,0.0
