Algoma Steel Group PE Ratio Historical Data,Algoma Steel Group PE Ratio Historical Data,Algoma Steel Group PE Ratio Historical Data,Algoma Steel Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.07,,50.35
2023-09-30,6.8,$0.20,34.0
2023-06-30,7.1,$0.30,23.67
2023-03-31,8.08,$0.84,9.62
2022-12-31,6.34,$2.13,2.98
2022-09-30,6.44,$3.33,1.93
2022-06-30,8.93,$6.24,1.43
2022-03-31,11.13,$5.07,2.2
2021-12-31,10.64,$3.92,2.71
2021-09-30,10.35,$3.14,3.3
2021-06-30,9.86,$0.02,492.93
2021-03-31,9.52,$-0.55,0.0
