CSG Systems PE Ratio Historical Data,CSG Systems PE Ratio Historical Data,CSG Systems PE Ratio Historical Data,CSG Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,49.07,,22.1
2024-06-30,40.91,$2.22,18.43
2024-03-31,50.84,$2.19,23.21
2023-12-31,52.18,$2.19,23.82
2023-09-30,49.86,$2.41,20.69
2023-06-30,51.16,$2.19,23.36
2023-03-31,51.81,$1.91,27.13
2022-12-31,54.89,$1.42,38.65
2022-09-30,50.5,$1.30,38.85
2022-06-30,56.72,$1.40,40.52
2022-03-31,60.14,$1.83,32.86
2021-12-31,54.29,$2.25,24.13
2021-09-30,45.2,$2.12,21.32
2021-06-30,44.01,$2.04,21.57
2021-03-31,41.65,$1.76,23.66
2020-12-31,41.38,$1.81,22.86
2020-09-30,37.4,$2.10,17.81
2020-06-30,37.57,$2.34,16.06
2020-03-31,37.79,$2.62,14.42
2019-12-31,46.5,$2.55,18.24
2019-09-30,46.23,$2.49,18.57
2019-06-30,43.5,$2.32,18.75
2019-03-31,37.49,$2.18,17.2
2018-12-31,28.01,$2.01,13.93
2018-09-30,35.17,$1.82,19.32
2018-06-30,35.61,$1.77,20.12
2018-03-31,39.27,$1.66,23.65
2017-12-31,37.82,$1.86,20.33
2017-09-30,34.46,$1.79,19.25
2017-06-30,34.69,$1.90,18.26
2017-03-31,32.17,$1.88,17.11
2016-12-31,40.97,$1.90,21.56
2016-09-30,34.84,$2.22,15.7
2016-06-30,33.84,$2.17,15.59
2016-03-31,37.74,$2.23,16.92
2015-12-31,29.93,$1.87,16.0
2015-09-30,25.49,$1.55,16.45
2015-06-30,26.05,$1.20,21.71
2015-03-31,24.87,$1.09,22.82
2014-12-31,20.4,$1.09,18.71
2014-09-30,21.25,$0.98,21.68
2014-06-30,20.99,$1.30,16.15
2014-03-31,20.81,$1.39,14.97
2013-12-31,23.37,$1.57,14.89
2013-09-30,19.81,$1.78,11.13
2013-06-30,17.01,$1.60,10.63
2013-03-31,16.55,$1.60,10.34
2012-12-31,14.2,$1.50,9.47
2012-09-30,17.56,$1.37,12.82
2012-06-30,13.5,$1.40,9.64
2012-03-31,11.82,$1.30,9.1
2011-12-31,11.49,$1.29,8.91
2011-09-30,9.87,$0.89,11.09
2011-06-30,14.43,$0.92,15.69
2011-03-31,15.57,$1.00,15.57
2010-12-31,14.79,$0.68,21.75
2010-09-30,14.24,$0.98,14.53
2010-06-30,14.32,$0.96,14.91
2010-03-31,16.4,$0.92,17.83
2009-12-31,14.91,$1.26,11.83
