Waste Management PE Ratio Historical Data,Waste Management PE Ratio Historical Data,Waste Management PE Ratio Historical Data,Waste Management PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,212.04,,33.71
2024-06-30,213.34,$6.29,33.92
2024-03-31,213.15,$6.11,34.89
2023-12-31,178.46,$5.66,31.53
2023-09-30,151.28,$5.65,26.78
2023-06-30,171.33,$5.56,30.82
2023-03-31,160.52,$5.46,29.4
2022-12-31,153.62,$5.39,28.5
2022-09-30,156.27,$5.38,29.05
2022-06-30,148.66,$5.12,29.04
2022-03-31,153.4,$4.54,33.79
2021-12-31,160.85,$4.30,37.41
2021-09-30,143.45,$4.13,34.73
2021-06-30,134.07,$3.77,35.56
2021-03-31,122.95,$3.66,33.59
2020-12-31,111.85,$3.52,31.78
2020-09-30,106.84,$3.54,30.18
2020-06-30,99.5,$3.78,26.32
2020-03-31,86.52,$3.95,21.9
2019-12-31,106.03,$4.34,24.43
2019-09-30,106.51,$4.45,23.93
2019-06-30,106.39,$4.44,23.96
2018-12-31,81.28,$4.46,18.22
2018-09-30,82.53,$5.28,15.63
2018-06-30,73.92,$4.93,14.99
2018-03-31,76.02,$4.65,16.35
2017-12-31,77.57,$4.55,17.05
2019-03-31,95.39,$3.16,30.19
2017-09-30,69.99,$3.10,22.58
2017-06-30,65.22,$2.91,22.41
2017-03-31,64.47,$2.74,23.53
2016-12-31,62.32,$2.65,23.52
2016-09-30,55.71,$2.51,22.2
2016-06-30,57.54,$2.57,22.39
2016-03-31,50.88,$2.53,20.11
2015-12-31,45.7,$1.67,27.37
2015-09-30,42.35,$2.34,18.1
2015-06-30,39.1,$2.18,17.94
2015-03-31,45.4,$2.03,22.36
2014-12-31,42.66,$2.80,15.24
2014-09-30,39.21,$0.23,170.47
2014-06-30,36.61,$0.27,135.58
2014-03-31,34.14,$0.34,100.41
2013-12-31,36.08,$0.21,171.83
2013-09-30,32.9,$1.98,16.61
2013-06-30,31.88,$1.82,17.52
2013-03-31,30.72,$1.75,17.56
2012-12-31,26.18,$1.76,14.87
2012-09-30,24.62,$1.86,13.23
2012-06-30,25.36,$1.98,12.81
2012-03-31,26.26,$2.03,12.94
2011-12-31,24.32,$2.05,11.86
2011-09-30,23.94,$2.06,11.62
2011-06-30,27.12,$1.99,13.63
2011-03-31,26.93,$2.00,13.47
2010-12-31,26.35,$1.98,13.31
2010-09-30,25.31,$2.03,12.47
2010-06-30,21.96,$2.08,10.56
2010-03-31,23.93,$2.07,11.56
2009-12-31,23.28,$2.01,11.58
