O'Reilly Automotive PE Ratio Historical Data,O'Reilly Automotive PE Ratio Historical Data,O'Reilly Automotive PE Ratio Historical Data,O'Reilly Automotive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,1129.97,,27.73
2024-06-30,1056.06,$40.75,25.92
2023-12-31,950.08,$38.48,24.69
2023-09-30,908.86,$37.59,24.18
2023-06-30,955.3,$36.07,26.48
2023-03-31,848.98,$35.02,24.24
2022-12-31,844.03,$35.52,23.76
2024-03-31,1128.88,$34.32,32.89
2022-09-30,703.35,$32.76,21.47
2022-06-30,631.76,$31.66,19.95
2022-03-31,684.96,$31.21,21.95
2021-12-31,706.23,$31.10,22.71
2021-09-30,611.06,$28.86,21.17
2021-06-30,566.21,$27.86,20.32
2021-03-31,507.25,$26.63,19.05
2020-12-31,452.57,$23.54,19.23
2020-09-30,461.08,$22.39,20.59
2020-06-30,421.67,$20.40,20.67
2020-03-31,301.05,$17.81,16.9
2019-12-31,438.26,$17.89,24.5
2019-09-30,398.51,$17.36,22.96
2019-06-30,369.32,$16.78,22.01
2019-03-31,388.3,$16.55,23.46
2018-12-31,344.33,$16.11,21.37
2018-09-30,347.32,$15.91,21.83
2018-06-30,273.57,$14.63,18.7
2018-03-31,247.38,$13.45,18.39
2017-12-31,240.54,$12.43,19.35
2017-09-30,215.37,$11.81,18.24
2017-06-30,218.74,$11.24,19.46
2016-12-31,278.41,$10.73,25.95
2016-09-30,280.11,$10.33,27.12
2016-06-30,271.1,$10.26,26.42
2016-03-31,273.66,$10.25,26.7
2015-12-31,253.42,$9.95,25.47
2017-03-31,269.84,$9.82,27.48
2015-09-30,249.73,$8.75,28.54
2015-06-30,225.98,$8.17,27.66
2015-03-31,216.24,$7.49,28.87
2014-12-31,192.62,$6.83,28.2
2014-09-30,150.36,$6.76,22.24
2014-03-31,148.39,$6.28,23.63
2013-12-31,128.71,$6.03,21.34
2013-09-30,127.59,$5.77,22.11
2013-06-30,112.62,$5.99,18.8
2013-03-31,102.44,$5.73,17.88
2012-12-31,89.42,$5.52,16.2
2014-06-30,150.6,$5.52,27.28
2012-09-30,83.62,$4.55,18.38
2012-06-30,83.77,$4.33,19.35
2012-03-31,91.35,$4.14,22.07
2011-12-31,79.95,$3.72,21.49
2011-09-30,66.63,$3.52,18.93
2011-06-30,65.51,$3.24,20.22
2011-03-31,57.46,$2.99,19.22
2010-12-31,60.42,$2.97,20.34
2010-09-30,53.2,$2.75,19.35
2010-06-30,47.56,$2.56,18.58
2010-03-31,41.71,$2.47,16.89
2009-12-31,38.12,$2.23,17.09
