Riot Platforms PE Ratio Historical Data,Riot Platforms PE Ratio Historical Data,Riot Platforms PE Ratio Historical Data,Riot Platforms PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.2,,12.78
2024-06-30,9.14,$0.72,12.69
2024-03-31,12.24,$0.87,14.07
2023-12-31,15.47,$-0.27,0.0
2023-09-30,9.33,$-1.76,0.0
2023-06-30,11.82,$-1.75,0.0
2023-03-31,9.99,$-4.39,0.0
2022-12-31,3.39,$-3.76,0.0
2022-09-30,7.01,$-2.96,0.0
2022-06-30,4.19,$-2.88,0.0
2022-03-31,21.17,$0.15,141.13
2021-12-31,22.33,$-0.06,0.0
2021-09-30,25.7,$0.31,82.9
2021-06-30,37.67,$0.43,87.6
2021-03-31,53.27,$-0.10,0.0
2020-12-31,16.99,$-0.34,0.0
2020-09-30,2.7,$-0.60,0.0
2020-06-30,2.22,$-0.64,0.0
2020-03-31,0.83,$-0.41,0.0
2019-12-31,1.12,$-1.20,0.0
2019-09-30,1.78,$-1.10,0.0
2019-06-30,3.14,$-1.48,0.0
2019-03-31,3.27,$-3.18,0.0
2018-12-31,1.51,$-3.59,0.0
2018-09-30,3.65,$-3.59,0.0
2018-06-30,6.34,$-4.11,0.0
2018-03-31,6.62,$-2.59,0.0
2017-12-31,28.4,$-2.19,0.0
2017-09-30,4.6,$-2.19,0.0
2017-06-30,3.64,$-1.64,0.0
2017-03-31,3.57,$-1.60,0.0
2016-12-31,3.42,$-0.51,0.0
2016-09-30,2.7,$-1.23,0.0
2016-06-30,3.13,$-1.20,0.0
2016-03-31,2.41,$-1.54,0.0
2015-12-31,2.17,$-2.24,0.0
2015-09-30,2.19,$-2.16,0.0
2015-06-30,3.19,$-2.40,0.0
2015-03-31,3.3,$-2.48,0.0
2014-12-31,12.62,$-3.04,0.0
2014-09-30,11.84,$-3.60,0.0
2014-06-30,15.9,$-4.08,0.0
2014-03-31,18.75,$-5.12,0.0
2013-12-31,15.26,$-6.24,0.0
2013-09-30,13.83,$-12.00,0.0
2013-06-30,8.56,$-13.44,0.0
2013-03-31,15.4,$-21.28,0.0
2012-12-31,18.25,$-28.64,0.0
2012-09-30,19.75,$-22.96,0.0
2012-06-30,13.41,$-38.63,0.0
2012-03-31,31.23,$-45.91,0.0
2011-12-31,41.5,$-53.11,0.0
2011-09-30,128.35,$-71.03,0.0
2011-06-30,139.04,$-71.99,0.0
2011-03-31,181.83,$-76.79,0.0
2010-12-31,129.08,$-83.98,0.0
2010-09-30,109.1,$-98.38,0.0
2010-06-30,209.63,$-107.98,0.0
2010-03-31,487.72,$-115.18,0.0
2009-12-31,372.21,$-112.78,0.0
