BioLife Solutions PE Ratio Historical Data,BioLife Solutions PE Ratio Historical Data,BioLife Solutions PE Ratio Historical Data,BioLife Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,23.14,,0.0
2024-06-30,21.43,$-1.69,0.0
2024-03-31,18.55,$-1.42,0.0
2023-12-31,16.25,$-1.52,0.0
2023-09-30,13.81,$-2.37,0.0
2023-06-30,22.1,$-1.93,0.0
2023-03-31,21.75,$-3.41,0.0
2022-12-31,18.2,$-3.26,0.0
2022-09-30,22.75,$-2.48,0.0
2022-06-30,13.81,$-2.25,0.0
2022-03-31,22.73,$-0.35,0.0
2021-12-31,37.27,$-0.21,0.0
2021-09-30,42.32,$0.10,423.2
2021-06-30,44.51,$0.06,741.83
2021-03-31,36.0,$-0.83,0.0
2020-12-31,39.89,$-0.81,0.0
2020-09-30,28.94,$-0.73,0.0
2020-06-30,16.35,$-0.32,0.0
2020-03-31,9.5,$0.41,23.17
2019-12-31,16.18,$0.46,35.17
2019-09-30,16.63,$0.49,33.93
2019-06-30,16.95,$0.17,99.71
2018-12-31,12.03,$0.13,92.54
2018-09-30,17.5,$0.04,437.5
2018-06-30,11.41,$0.01,1141.0
2018-03-31,5.13,$-0.07,0.0
2017-12-31,6.0,$-0.12,0.0
2019-03-31,17.89,$-0.14,0.0
2017-09-30,5.71,$-0.42,0.0
2017-06-30,2.39,$-0.47,0.0
2017-03-31,2.09,$-0.52,0.0
2016-12-31,1.61,$-0.55,0.0
2016-09-30,1.84,$-0.38,0.0
2016-06-30,1.6,$-0.39,0.0
2016-03-31,1.83,$-0.36,0.0
2015-12-31,2.17,$-0.35,0.0
2015-09-30,2.11,$-0.34,0.0
2015-06-30,1.95,$-0.32,0.0
2015-03-31,1.61,$-0.31,0.0
2014-12-31,1.64,$-0.32,0.0
2014-09-30,2.1,$-0.34,0.0
2014-06-30,2.28,$-0.27,0.0
2014-03-31,3.69,$-0.20,0.0
2013-12-31,8.4,$-0.10,0.0
2013-09-30,11.2,$-0.14,0.0
2013-06-30,5.04,$-0.28,0.0
2013-03-31,4.06,$-0.42,0.0
2012-12-31,4.76,$-0.42,0.0
2012-09-30,1.82,$-0.42,0.0
2012-06-30,1.26,$-0.42,0.0
2012-03-31,1.4,$-0.42,0.0
2011-12-31,0.7,$-0.56,0.0
2011-09-30,1.12,$-0.56,0.0
2011-06-30,1.12,$-0.56,0.0
2011-03-31,1.12,$-0.56,0.0
2010-12-31,0.84,$-0.56,0.0
2010-09-30,1.26,$-0.56,0.0
2010-06-30,1.4,$-0.56,0.0
2010-03-31,1.4,$-0.56,0.0
2009-12-31,1.54,$-0.56,0.0
