Alpha Metallurgical Resources PE Ratio Historical Data,Alpha Metallurgical Resources PE Ratio Historical Data,Alpha Metallurgical Resources PE Ratio Historical Data,Alpha Metallurgical Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,210.99,,6.28
2024-06-30,280.53,$33.61,8.35
2024-03-31,331.17,$41.28,8.02
2023-12-31,338.92,$48.70,6.96
2023-09-30,259.27,$49.19,5.27
2023-06-30,163.73,$56.81,2.88
2023-03-31,154.89,$74.62,2.08
2022-12-31,144.96,$78.13,1.86
2022-09-30,130.67,$78.21,1.67
2022-06-30,122.96,$68.34,1.8
2022-03-31,125.33,$37.34,3.36
2021-12-31,57.98,$15.03,3.86
2021-09-30,47.29,$-3.89,0.0
2021-06-30,24.34,$-12.04,0.0
2021-03-31,12.0,$-24.03,0.0
2020-12-31,10.8,$-24.42,0.0
2020-09-30,6.95,$-26.70,0.0
2020-06-30,2.89,$-26.55,0.0
2020-03-31,2.23,$-19.38,0.0
2019-12-31,8.6,$-16.85,0.0
2019-09-30,26.56,$0.79,33.61
