Champion Homes PE Ratio Historical Data,Champion Homes PE Ratio Historical Data,Champion Homes PE Ratio Historical Data,Champion Homes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,99.15,,40.64
2024-06-30,67.75,$2.44,27.77
2024-03-31,85.01,$2.54,33.47
2023-12-31,74.26,$3.49,21.28
2023-09-30,63.72,$4.12,15.47
2023-06-30,65.45,$5.84,11.21
2023-03-31,75.23,$6.99,10.76
2022-12-31,51.51,$7.50,6.87
2022-09-30,52.87,$7.24,7.3
2022-06-30,47.42,$5.62,8.44
2022-03-31,54.88,$4.33,12.67
2021-12-31,78.98,$3.41,23.16
2021-09-30,60.06,$2.61,23.01
2021-06-30,53.3,$2.03,26.26
2021-03-31,45.26,$1.49,30.38
2020-12-31,30.94,$1.01,30.63
2020-09-30,26.77,$0.93,28.78
2020-06-30,24.34,$0.93,26.17
2020-03-31,15.68,$1.03,15.22
2019-12-31,31.7,$1.08,29.35
2019-09-30,30.09,$0.97,31.02
2019-06-30,27.38,$-0.76,0.0
2019-03-31,19.0,$-1.09,0.0
2018-12-31,14.69,$-1.11,0.0
2018-09-30,28.57,$-1.30,0.0
2018-06-30,35.04,$0.47,74.55
2018-03-31,21.6,$0.49,44.07
2018-02-28,21.0,$0.54,38.88
2017-12-31,12.61,$0.54,23.36
2017-11-30,12.0,$0.46,26.08
2017-09-30,11.87,$0.46,25.8
2017-08-31,11.71,$-0.02,0.0
2017-06-30,5.91,$-0.02,0.0
2017-05-31,5.16,$-0.29,0.0
2017-03-31,9.25,$-0.29,0.0
2017-02-28,11.83,0,0.0
2016-11-30,12.57,0,0.0
2016-08-31,11.78,0,0.0
2016-05-31,10.13,0,0.0
2016-02-29,3.96,0,0.0
2015-11-30,3.63,0,0.0
2015-08-31,3.25,0,0.0
2015-05-31,3.24,0,0.0
2015-02-28,3.54,0,0.0
2014-11-30,3.78,0,0.0
2014-08-31,3.43,0,0.0
2014-05-31,4.72,0,0.0
2014-02-28,5.63,0,0.0
2013-11-30,4.78,0,0.0
2013-08-31,4.68,0,0.0
2013-05-31,4.0,0,0.0
2013-02-28,4.51,0,0.0
2012-11-30,4.02,0,0.0
2012-08-31,4.64,0,0.0
2012-05-31,4.46,0,0.0
2012-02-29,7.9,0,0.0
2011-11-30,5.66,0,0.0
2011-08-31,10.62,0,0.0
2011-05-31,17.64,0,0.0
2011-02-28,19.23,0,0.0
2010-11-30,18.01,0,0.0
2010-08-31,17.23,0,0.0
2010-05-31,17.61,0,0.0
2010-02-28,15.74,0,0.0
2009-11-30,15.06,0,0.0
