Xenia Hotels & Resorts PE Ratio Historical Data,Xenia Hotels & Resorts PE Ratio Historical Data,Xenia Hotels & Resorts PE Ratio Historical Data,Xenia Hotels & Resorts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.99,,68.14
2024-06-30,14.21,$0.22,64.61
2024-03-31,14.77,$0.19,77.71
2023-12-31,13.29,$0.17,78.19
2023-09-30,11.41,$0.41,27.84
2023-06-30,11.83,$0.48,24.64
2023-03-31,12.48,$0.60,20.79
2022-12-31,12.46,$0.49,25.44
2022-09-30,12.94,$-0.02,0.0
2022-06-30,13.54,$-0.21,0.0
2022-03-31,17.97,$-0.81,0.0
2021-12-31,16.87,$-1.26,0.0
2021-09-30,16.53,$-0.84,0.0
2021-06-30,17.45,$-1.10,0.0
2021-03-31,18.17,$-1.62,0.0
2020-12-31,14.16,$-1.44,0.0
2020-09-30,8.18,$-1.52,0.0
2020-06-30,8.69,$-0.97,0.0
2020-03-31,9.6,$0.02,479.78
2019-12-31,19.59,$0.49,39.97
2019-09-30,18.9,$1.23,15.37
2019-06-30,18.42,$1.22,15.1
2019-03-31,19.11,$1.37,13.95
2018-12-31,14.82,$1.74,8.51
2018-09-30,20.09,$0.95,21.15
2018-06-30,20.41,$0.98,20.83
2018-03-31,16.34,$1.37,11.93
2017-12-31,17.65,$0.92,19.18
2017-09-30,16.99,$1.27,13.38
2017-06-30,15.44,$1.35,11.43
2017-03-31,13.42,$0.94,14.27
2016-12-31,15.02,$0.79,19.01
2016-09-30,11.57,$0.90,12.86
2016-06-30,12.56,$0.87,14.44
2016-03-31,11.5,$0.84,13.69
2015-12-31,11.08,$0.79,14.03
