J & J Snack Foods PE Ratio Historical Data,J & J Snack Foods PE Ratio Historical Data,J & J Snack Foods PE Ratio Historical Data,J & J Snack Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,168.54,,37.45
2024-06-30,161.62,$4.50,35.92
2024-03-31,143.26,$4.44,32.27
2023-12-31,164.78,$4.11,40.09
2023-09-30,160.63,$4.08,39.37
2023-06-30,154.78,$3.41,45.39
2023-03-31,144.22,$2.41,59.84
2022-12-31,144.96,$2.22,65.3
2022-09-30,124.79,$2.46,50.73
2022-06-30,133.93,$2.54,52.73
2022-03-31,148.0,$3.24,45.68
2021-12-31,150.12,$3.39,44.28
2021-09-30,144.64,$3.16,45.77
2021-06-30,164.4,$1.51,108.88
2021-03-31,147.48,$0.38,388.11
2020-09-30,121.57,$0.95,127.97
2020-06-30,118.01,$1.96,60.21
2020-03-31,111.82,$2.72,41.11
2019-12-31,169.4,$3.97,42.67
2019-09-30,175.96,$4.16,42.3
2020-12-31,145.4,$3.73,38.98
2019-06-30,147.12,$4.88,30.15
2019-03-31,144.75,$4.64,31.2
2018-12-31,131.33,$4.51,29.12
2018-09-30,137.05,$5.52,24.83
2018-06-30,138.07,$5.57,24.79
2018-03-31,123.29,$5.52,22.33
2017-12-31,136.63,$5.42,25.21
2017-09-30,117.8,$4.20,28.05
2017-06-30,118.09,$4.01,29.45
2017-03-31,120.84,$4.11,29.4
2016-12-31,118.56,$4.09,28.99
2016-09-30,105.51,$4.03,26.18
2016-06-30,105.3,$3.98,26.46
2016-03-31,95.26,$3.85,24.74
2015-12-31,102.26,$3.80,26.91
2015-09-30,99.28,$3.74,26.54
2015-06-30,96.36,$3.88,24.84
2015-03-31,92.6,$3.83,24.18
2014-12-31,94.06,$3.77,24.95
2014-09-30,80.63,$3.83,21.05
2014-06-30,80.85,$3.73,21.67
2014-03-31,82.15,$3.59,22.88
2013-12-31,75.58,$3.54,21.35
2013-09-30,68.61,$3.42,20.06
2013-06-30,66.0,$3.36,19.64
2013-03-31,65.09,$3.23,20.15
2012-12-31,53.95,$3.11,17.35
2012-09-30,48.3,$2.86,16.89
2012-06-30,49.67,$2.68,18.54
2012-03-31,43.99,$2.94,14.96
2011-12-31,44.57,$2.85,15.64
2011-09-30,40.09,$2.94,13.64
2011-06-30,41.49,$2.97,13.97
2011-03-31,39.08,$2.57,15.21
2010-12-31,39.94,$2.59,15.42
2010-09-30,34.63,$3.00,11.54
2010-06-30,34.68,$2.92,11.88
2010-03-31,35.72,$2.46,14.52
2009-09-30,35.3,$2.36,14.96
