Cushman & Wakefield PE Ratio Historical Data,Cushman & Wakefield PE Ratio Historical Data,Cushman & Wakefield PE Ratio Historical Data,Cushman & Wakefield PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.3,,166.25
2024-06-30,10.4,$0.08,130.0
2024-03-31,10.46,$0.04,261.5
2023-12-31,10.8,$-0.17,0.0
2023-09-30,7.62,$-0.34,0.0
2023-06-30,8.18,$-0.08,0.0
2023-03-31,10.54,$0.33,31.94
2022-12-31,12.46,$0.87,14.32
2022-09-30,11.45,$1.38,8.3
2022-06-30,15.24,$1.57,9.71
2022-03-31,20.51,$1.37,14.97
2021-12-31,22.24,$1.09,20.4
2021-09-30,18.61,$0.33,56.39
2021-06-30,17.47,$-0.14,0.0
2021-03-31,16.32,$-0.83,0.0
2020-12-31,14.83,$-1.00,0.0
2020-09-30,10.51,$-0.87,0.0
2020-06-30,12.46,$-0.65,0.0
2020-03-31,11.74,$-0.16,0.0
2019-12-31,20.44,$-0.01,0.0
2019-09-30,18.53,$-0.11,0.0
2019-06-30,17.88,$-0.42,0.0
