Diamondback Energy PE Ratio Historical Data,Diamondback Energy PE Ratio Historical Data,Diamondback Energy PE Ratio Historical Data,Diamondback Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,195.11,,10.08
2024-06-30,197.84,$19.35,10.22
2024-03-31,193.91,$17.74,10.93
2023-12-31,149.18,$17.34,8.6
2023-09-30,145.83,$17.62,8.28
2023-06-30,123.0,$19.27,6.38
2023-03-31,125.77,$24.15,5.21
2022-12-31,124.71,$24.63,5.06
2022-09-30,108.29,$24.55,4.41
2022-06-30,106.38,$21.39,4.97
2022-03-31,117.5,$15.17,7.75
2021-12-31,92.04,$12.14,7.58
2021-09-30,80.43,$1.92,41.89
2021-06-30,79.32,$-8.69,0.0
2021-03-31,61.77,$-25.57,0.0
2020-12-31,40.47,$-28.62,0.0
2020-09-30,24.91,$-26.98,0.0
2020-06-30,34.29,$-17.67,0.0
2020-03-31,21.27,$-0.39,0.0
2019-12-31,74.94,$1.39,53.92
2019-09-30,72.38,$6.93,10.45
2019-06-30,87.56,$6.26,13.99
2019-03-31,81.43,$6.37,12.78
2018-12-31,74.26,$7.96,9.33
2018-09-30,108.18,$6.62,16.34
2018-06-30,105.18,$5.77,18.23
2018-03-31,101.05,$5.16,19.58
2017-12-31,100.83,$4.97,20.29
2017-09-30,78.24,$4.13,18.94
2017-06-30,70.93,$3.36,21.11
2017-03-31,82.83,$-0.42,0.0
2016-12-31,80.71,$-2.34,0.0
2016-09-30,77.1,$-5.46,0.0
2016-06-30,72.85,$-7.83,0.0
2016-03-31,61.64,$-9.11,0.0
2015-12-31,53.43,$-8.55,0.0
2015-09-30,51.59,$-4.02,0.0
2015-06-30,60.2,$-0.83,0.0
2015-03-31,61.37,$3.16,19.42
2014-12-31,47.74,$3.54,13.49
2014-09-30,59.72,$2.25,26.54
2014-06-30,70.92,$1.79,39.62
2014-03-31,53.76,$1.61,33.39
2013-12-31,42.23,$1.28,33.0
2013-09-30,34.06,$0.89,38.26
