CTS PE Ratio Historical Data,CTS PE Ratio Historical Data,CTS PE Ratio Historical Data,CTS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,49.35,,27.88
2024-06-30,50.59,$1.77,28.58
2024-03-31,46.71,$1.70,27.48
2023-12-31,43.63,$1.92,22.73
2023-09-30,41.6,$1.90,21.89
2023-06-30,42.45,$1.83,23.19
2023-03-31,49.2,$1.81,27.18
2022-12-31,39.18,$1.86,21.06
2022-09-30,41.35,$1.67,24.76
2022-06-30,33.78,$-0.67,0.0
2022-03-31,35.01,$-1.03,0.0
2021-12-31,36.34,$-1.29,0.0
2021-09-30,30.56,$-1.11,0.0
2021-06-30,36.69,$1.20,30.57
2021-03-31,30.63,$1.32,23.21
2020-12-31,33.82,$1.07,31.6
2020-09-30,21.67,$0.92,23.56
2020-06-30,19.68,$0.66,29.82
2020-03-31,24.39,$0.87,28.04
2019-12-31,29.36,$1.09,26.93
2019-09-30,31.61,$1.30,24.32
2019-06-30,26.91,$1.52,17.7
2019-03-31,28.62,$1.37,20.89
2018-12-31,25.19,$1.37,18.39
2018-09-30,33.32,$0.44,75.73
2018-06-30,34.93,$0.43,81.24
2018-03-31,26.36,$0.52,50.7
2017-12-31,24.92,$0.43,57.96
2017-09-30,23.29,$1.09,21.37
2017-06-30,20.84,$0.91,22.9
2017-03-31,20.51,$1.05,19.54
2016-12-31,21.53,$1.04,20.7
2016-09-30,17.85,$0.37,48.24
2016-06-30,17.16,$0.11,156.0
2016-03-31,15.04,$0.24,62.66
2015-12-31,16.81,$0.19,88.47
2015-09-30,17.6,$0.82,21.46
2015-06-30,18.28,$1.21,15.11
2015-03-31,17.03,$0.83,20.52
2014-12-31,16.84,$0.79,21.32
2014-09-30,14.98,$0.49,30.57
2014-06-30,17.58,$0.45,39.08
2014-03-31,19.59,$-0.08,0.0
2013-12-31,18.65,$-0.13,0.0
2013-09-30,14.74,$0.22,66.99
2013-06-30,12.72,$0.19,66.94
2013-03-31,9.71,$0.63,15.41
2012-12-31,9.85,$0.60,16.42
2012-09-30,9.3,$0.51,18.24
2012-06-30,8.67,$0.51,17.0
2012-03-31,9.65,$0.53,18.2
2011-12-31,8.41,$0.60,14.01
2011-09-30,7.4,$0.63,11.75
2011-06-30,8.77,$0.63,13.92
2010-12-31,9.97,$0.64,15.58
2010-09-30,8.65,$0.62,13.95
2010-06-30,8.28,$0.57,14.53
2010-03-31,8.42,$0.53,15.88
2009-12-31,8.57,$0.19,45.11
2011-03-31,9.77,$-0.99,0.0
