Vericel PE Ratio Historical Data,Vericel PE Ratio Historical Data,Vericel PE Ratio Historical Data,Vericel PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,40.67,,0.0
2024-06-30,45.88,$-0.00,0.0
2024-03-31,52.02,$-0.01,0.0
2023-12-31,35.61,$-0.09,0.0
2023-09-30,33.52,$-0.23,0.0
2023-06-30,37.57,$-0.29,0.0
2023-03-31,29.32,$-0.37,0.0
2022-12-31,26.34,$-0.36,0.0
2022-09-30,23.2,$-0.39,0.0
2022-06-30,25.18,$-0.36,0.0
2022-03-31,38.22,$-0.25,0.0
2021-12-31,39.3,$-0.17,0.0
2021-09-30,48.8,$-0.01,0.0
2021-06-30,52.5,$0.18,291.67
2021-03-31,55.55,$0.08,694.38
2020-12-31,30.88,$0.05,617.6
2020-09-30,18.53,$0.00,0.0
2020-06-30,13.82,$-0.01,0.0
2020-03-31,9.17,$-0.28,0.0
2019-12-31,17.4,$-0.25,0.0
2019-09-30,15.14,$-0.34,0.0
2019-06-30,18.89,$-0.43,0.0
2019-03-31,17.51,$-0.10,0.0
2018-12-31,17.4,$-0.24,0.0
2018-09-30,14.15,$-0.34,0.0
2018-06-30,9.7,$-0.48,0.0
2018-03-31,9.95,$-0.43,0.0
2017-12-31,5.45,$-0.53,0.0
2017-09-30,6.0,$-0.88,0.0
2017-06-30,3.3,$-1.10,0.0
2017-03-31,2.8,$-1.25,0.0
2016-12-31,3.0,$-1.18,0.0
2016-09-30,2.8,$-1.12,0.0
2016-06-30,2.25,$-1.00,0.0
2016-03-31,5.86,$-0.94,0.0
2015-12-31,2.58,$-0.97,0.0
2015-09-30,2.71,$-0.86,0.0
2015-06-30,3.57,$-1.42,0.0
2015-03-31,3.7,$-2.20,0.0
2014-12-31,3.04,$-2.95,0.0
2014-09-30,2.85,$-3.75,0.0
2014-06-30,4.1,$-2.99,0.0
2014-03-31,4.39,$-4.25,0.0
2013-12-31,3.23,$-6.23,0.0
2013-09-30,5.58,$-8.86,0.0
2013-06-30,8.02,$-12.20,0.0
2013-03-31,14.0,$-14.40,0.0
2012-12-31,25.2,$-16.40,0.0
2012-09-30,32.6,$-14.20,0.0
2012-06-30,43.0,$-11.80,0.0
2012-03-31,40.4,$-12.60,0.0
2011-12-31,36.4,$-10.20,0.0
2011-09-30,44.8,$-8.80,0.0
2011-06-30,55.0,$-12.00,0.0
2011-03-31,50.0,$-10.40,0.0
2010-12-31,51.2,$-11.00,0.0
2010-09-30,31.0,$-15.80,0.0
2010-06-30,29.8,$-14.80,0.0
2010-03-31,33.0,$-11.20,0.0
2009-12-31,49.2,$-12.80,0.0
