Baxter PE Ratio Historical Data,Baxter PE Ratio Historical Data,Baxter PE Ratio Historical Data,Baxter PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,37.94,,7.81
2024-06-30,33.2,$4.86,6.83
2024-03-31,42.42,$5.20,8.16
2023-12-31,38.1,$5.22,7.3
2023-09-30,36.89,$5.10,7.23
2023-06-30,44.22,$-5.66,0.0
2023-03-31,39.09,$-4.88,0.0
2022-12-31,48.78,$-4.83,0.0
2022-09-30,51.26,$-4.72,0.0
2022-06-30,60.82,$2.00,30.41
2022-03-31,73.14,$2.09,34.99
2021-12-31,80.7,$2.53,31.9
2021-09-30,75.34,$2.39,31.52
2021-06-30,75.14,$2.19,34.31
2021-03-31,78.46,$2.08,37.72
2020-12-31,74.41,$2.14,34.77
2020-09-30,74.34,$1.76,42.24
2020-06-30,79.36,$1.78,44.59
2020-03-31,74.63,$1.96,38.08
2019-12-31,76.67,$1.98,38.72
2019-09-30,79.98,$2.68,29.84
2019-06-30,74.7,$2.97,25.15
2019-03-31,73.95,$2.94,25.15
2018-12-31,59.71,$2.99,19.97
2018-09-30,69.74,$2.21,31.56
2018-06-30,66.63,$1.66,40.14
2018-03-31,58.53,$1.51,38.76
2017-12-31,58.03,$1.29,44.99
2017-09-30,56.2,$1.86,30.21
2017-06-30,54.08,$1.65,32.78
2017-03-31,46.2,$3.36,13.75
2016-12-31,39.4,$8.99,4.38
2016-09-30,42.17,$8.92,4.73
2016-06-30,39.95,$8.68,4.6
2016-03-31,36.19,$7.09,5.1
2015-12-31,33.51,$1.75,19.15
2015-09-30,28.77,$3.12,9.22
2015-06-30,33.01,$3.98,8.29
2015-03-31,32.08,$4.33,7.41
2014-12-31,34.07,$4.56,7.47
2014-09-30,33.13,$3.41,9.71
2014-06-30,33.14,$3.54,9.36
2014-03-31,33.49,$3.66,9.15
2013-12-31,31.43,$3.65,8.61
2013-09-30,29.46,$3.95,7.46
2013-06-30,30.85,$4.02,7.68
2013-03-31,32.13,$4.14,7.76
2012-12-31,29.29,$3.96,7.4
2012-09-30,26.3,$4.08,6.45
2012-06-30,23.02,$4.09,5.63
2011-12-31,21.16,$3.88,5.45
2011-09-30,23.85,$3.78,6.31
2011-06-30,25.22,$3.81,6.62
2011-03-31,22.6,$3.75,6.03
2010-12-31,21.15,$3.67,5.76
2012-03-31,25.72,$3.81,6.75
2010-09-30,19.81,$3.71,5.34
2010-06-30,16.76,$3.57,4.7
2010-03-31,23.84,$3.63,6.57
2009-12-31,23.91,$3.60,6.64
