Hub PE Ratio Historical Data,Hub PE Ratio Historical Data,Hub PE Ratio Historical Data,Hub PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,44.22,,20.71
2024-06-30,42.93,$2.14,20.11
2023-12-31,45.57,$2.61,17.5
2023-09-30,38.93,$3.36,11.6
2023-06-30,39.81,$3.31,12.03
2023-03-31,41.61,$3.90,10.68
2022-12-31,39.4,$4.47,8.82
2024-03-31,42.97,$4.55,9.44
2022-09-30,34.19,$5.35,6.39
2022-06-30,35.17,$4.69,7.51
2022-03-31,38.27,$3.43,11.17
2021-12-31,41.76,$2.47,16.91
2021-09-30,34.08,$1.60,21.3
2021-03-31,33.35,$1.16,28.88
2020-12-31,28.26,$1.10,25.69
2020-09-30,24.88,$1.19,21.0
2020-06-30,23.72,$1.21,19.69
2020-03-31,22.54,$1.40,16.1
2019-12-31,25.42,$1.64,15.55
2021-06-30,32.71,$1.57,20.83
2019-09-30,23.05,$1.91,12.07
2019-06-30,20.81,$3.23,6.45
2019-03-31,20.25,$3.12,6.49
2018-12-31,18.38,$3.01,6.12
2018-09-30,22.6,$3.77,6.0
2018-06-30,24.69,$2.30,10.76
2018-03-31,20.75,$2.11,9.83
2017-12-31,23.74,$2.03,11.73
2017-09-30,21.29,$0.81,26.45
2017-06-30,19.01,$0.85,22.5
2017-03-31,23.0,$1.01,22.89
2016-12-31,21.69,$1.11,19.63
2016-09-30,20.2,$1.15,17.65
2016-06-30,19.02,$1.15,16.54
2016-03-31,20.22,$1.10,18.38
2015-12-31,16.33,$0.99,16.58
2015-09-30,18.05,$0.90,20.17
2015-06-30,20.0,$0.68,29.41
2015-03-31,19.48,$0.68,28.64
2014-12-31,18.88,$0.77,24.67
2014-09-30,20.09,$0.79,25.43
2014-06-30,24.98,$0.98,25.49
2013-12-31,19.77,$0.94,21.14
2013-09-30,19.45,$0.97,20.15
2013-06-30,18.05,$0.88,20.52
2013-03-31,19.06,$0.88,21.66
2012-12-31,16.66,$0.90,18.51
2014-03-31,19.82,$0.83,23.88
2012-09-30,14.71,$0.90,16.44
2012-06-30,17.91,$0.87,20.7
2012-03-31,17.86,$0.83,21.52
2011-12-31,16.08,$0.79,20.48
2011-09-30,14.01,$0.73,19.33
2011-06-30,18.67,$0.68,27.66
2011-03-31,17.94,$0.61,29.41
2010-12-31,17.42,$0.59,29.78
2010-09-30,14.5,$0.55,26.61
2010-06-30,14.88,$0.51,29.46
2010-03-31,13.87,$0.49,28.6
2009-12-31,13.28,$0.46,29.19
