Acadia Healthcare PE Ratio Historical Data,Acadia Healthcare PE Ratio Historical Data,Acadia Healthcare PE Ratio Historical Data,Acadia Healthcare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,59.32,,0.0
2024-06-30,67.54,$-0.08,0.0
2024-03-31,79.22,$-0.14,0.0
2023-12-31,77.76,$-0.25,0.0
2023-09-30,70.31,$-0.21,0.0
2023-06-30,79.64,$2.96,26.91
2023-03-31,72.25,$3.05,23.69
2022-12-31,82.32,$3.00,27.44
2022-09-30,78.18,$3.10,25.22
2022-06-30,67.63,$3.05,22.17
2022-03-31,65.53,$2.66,24.64
2021-12-31,60.7,$-6.79,0.0
2021-09-30,63.78,$-7.14,0.0
2021-06-30,62.75,$-7.41,0.0
2020-12-31,50.26,$-7.52,0.0
2020-09-30,29.48,$1.13,26.09
2020-06-30,25.12,$0.82,30.63
2020-03-31,18.35,$0.84,21.85
2019-12-31,33.22,$1.01,32.89
2021-03-31,57.14,$1.48,38.61
2019-09-30,31.08,$-2.43,0.0
2019-06-30,34.95,$-2.38,0.0
2019-03-31,29.31,$-2.13,0.0
2018-12-31,25.71,$-1.95,0.0
2018-09-30,35.2,$2.42,14.55
2017-12-31,32.63,$2.29,14.25
2017-09-30,47.76,$1.97,24.24
2017-06-30,49.38,$2.12,23.29
2017-03-31,43.6,$0.19,229.47
2016-12-31,33.1,$0.44,75.23
2018-06-30,40.91,$0.27,151.52
2016-09-30,49.55,$0.18,275.28
2016-06-30,55.4,$1.96,28.27
2016-03-31,55.11,$1.89,29.16
2015-12-31,62.46,$2.07,30.17
2015-09-30,66.27,$1.72,38.53
2018-03-31,39.18,$1.67,23.46
2015-06-30,78.33,$1.52,51.53
2015-03-31,71.6,$1.46,49.04
2014-12-31,61.21,$1.47,41.64
2014-09-30,48.5,$1.39,34.89
2014-06-30,45.5,$1.20,37.92
2013-12-31,47.33,$0.84,56.35
2013-09-30,39.43,$0.70,56.33
2013-06-30,33.07,$0.67,49.36
2013-03-31,29.39,$0.58,50.67
2012-12-31,23.35,$0.67,34.85
2014-03-31,45.12,$0.68,66.35
2012-09-30,23.83,$-0.30,0.0
2012-06-30,17.54,$-0.27,0.0
2012-03-31,16.3,$-0.43,0.0
2011-12-31,9.97,$-0.54,0.0
2011-09-30,9.44,$0.18,52.44
2010-12-31,6.61,$-1.24,0.0
2010-09-30,5.15,$-1.24,0.0
