NewMarket PE Ratio Historical Data,NewMarket PE Ratio Historical Data,NewMarket PE Ratio Historical Data,NewMarket PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,528.8,,12.34
2024-06-30,513.28,$42.84,11.98
2024-03-31,628.8,$41.57,15.13
2023-12-31,538.65,$40.43,13.32
2023-09-30,447.25,$41.31,10.83
2023-06-30,393.27,$36.03,10.92
2023-03-31,354.98,$32.21,11.02
2022-12-31,300.74,$27.87,10.79
2022-09-30,288.85,$20.26,14.26
2022-06-30,286.93,$18.74,15.31
2022-03-31,307.03,$18.58,16.52
2021-12-31,322.24,$18.95,17.0
2021-09-30,316.49,$26.07,12.14
2021-03-31,350.85,$23.32,15.05
2020-12-31,365.8,$24.61,14.86
2020-09-30,312.9,$22.97,13.62
2020-06-30,364.18,$20.83,17.48
2020-03-31,346.5,$24.35,14.23
2019-12-31,438.06,$22.26,19.68
2019-06-30,358.09,$22.90,15.64
2019-03-31,385.55,$20.80,18.54
2018-12-31,364.99,$20.37,17.92
2018-09-30,357.57,$15.14,23.62
2018-06-30,355.12,$15.06,23.58
2018-03-31,351.08,$15.82,22.19
2017-12-31,345.88,$16.07,21.52
2017-09-30,368.87,$19.58,18.84
2017-06-30,397.32,$20.57,19.32
2017-03-31,389.6,$21.34,18.26
2016-12-31,362.91,$20.45,17.75
2016-09-30,366.24,$21.67,16.9
2019-09-30,423.39,$20.36,20.8
2015-12-31,320.95,$19.44,16.51
2015-09-30,299.68,$19.11,15.68
2015-06-30,371.27,$19.46,19.08
2015-03-31,398.43,$19.27,20.68
2014-12-31,335.49,$19.37,17.32
2016-06-30,352.15,$19.63,17.94
2014-09-30,315.63,$18.28,17.27
2014-06-30,323.93,$19.69,16.45
2014-03-31,321.9,$19.67,16.37
2013-12-31,274.45,$20.05,13.69
2013-09-30,235.67,$21.04,11.2
2016-03-31,335.41,$19.04,17.62
2013-06-30,214.25,$18.65,11.49
2013-03-31,211.77,$17.96,11.79
2012-12-31,212.53,$17.64,12.05
2012-09-30,181.18,$16.21,11.18
2012-06-30,158.75,$16.60,9.56
2021-06-30,298.86,$16.25,18.39
2011-12-31,144.08,$15.07,9.56
2011-09-30,110.02,$16.03,6.86
2011-06-30,123.2,$15.77,7.81
2011-03-31,113.75,$15.18,7.49
2010-12-31,88.4,$14.30,6.18
2012-03-31,136.85,$13.61,10.06
2010-09-30,81.17,$11.68,6.95
2010-06-30,62.13,$12.22,5.08
2010-03-31,73.0,$11.54,6.33
2009-12-31,81.05,$10.64,7.62
