United States Steel PE Ratio Historical Data,United States Steel PE Ratio Historical Data,United States Steel PE Ratio Historical Data,United States Steel PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,37.8,,16.88
2024-06-30,37.75,$2.24,16.85
2024-03-31,40.68,$3.41,11.93
2023-12-31,48.47,$3.51,13.81
2023-09-30,32.32,$4.55,7.1
2023-06-30,24.83,$5.20,4.78
2023-03-31,25.85,$6.73,3.84
2022-12-31,24.77,$9.70,2.55
2022-09-30,17.87,$15.99,1.12
2022-06-30,17.63,$17.67,1.0
2021-12-31,23.34,$14.60,1.6
2021-09-30,21.5,$11.07,1.94
2021-06-30,23.47,$7.12,3.3
2021-03-31,25.59,$2.53,10.11
2020-12-31,16.39,$-1.18,0.0
2022-03-31,37.08,$-3.70,0.0
2020-09-30,7.16,$-10.72,0.0
2020-06-30,7.04,$-10.15,0.0
2020-03-31,6.14,$-6.40,0.0
2019-12-31,11.1,$-3.79,0.0
2019-09-30,11.19,$3.54,3.16
2019-06-30,14.78,$5.65,2.62
2019-03-31,18.75,$6.46,2.9
2018-12-31,17.51,$6.25,2.8
2018-09-30,29.21,$3.82,7.65
2018-06-30,33.24,$3.03,10.97
2018-03-31,33.62,$3.31,10.16
2017-12-31,33.57,$2.18,15.4
2017-09-30,24.43,$0.67,36.46
2017-06-30,21.04,$0.16,131.48
2017-03-31,32.05,$-1.64,0.0
2016-12-31,31.25,$-2.93,0.0
2016-09-30,17.81,$-9.15,0.0
2016-06-30,15.89,$-10.65,0.0
2016-03-31,15.08,$-12.12,0.0
2015-12-31,7.45,$-10.32,0.0
2015-09-30,9.68,$-1.66,0.0
2015-06-30,19.11,$-1.90,0.0
2015-03-31,22.57,$-0.23,0.0
2014-12-31,24.68,$0.63,39.18
2014-09-30,36.11,$-2.04,0.0
2014-06-30,23.97,$-13.00,0.0
2014-03-31,25.37,$-13.42,0.0
2013-12-31,27.05,$-14.27,0.0
2013-09-30,18.85,$-13.78,0.0
2013-06-30,16.0,$-1.12,0.0
2013-03-31,17.76,$0.04,443.92
2012-12-31,21.67,$-0.97,0.0
2012-09-30,17.29,$-2.08,0.0
2012-06-30,18.63,$-2.21,0.0
2012-03-31,26.51,$-1.50,0.0
2011-12-31,23.85,$-0.58,0.0
2011-09-30,19.8,$-0.86,0.0
2011-06-30,41.35,$-1.36,0.0
2011-03-31,48.39,$-2.86,0.0
2010-12-31,52.37,$-3.36,0.0
2010-09-30,39.26,$-3.48,0.0
2010-06-30,34.48,$-5.24,0.0
2010-03-31,56.77,$-7.99,0.0
2009-12-31,49.21,$-10.67,0.0
