Fomento Economico Mexicano S.A.B De C.V PE Ratio Historical Data,Fomento Economico Mexicano S.A.B De C.V PE Ratio Historical Data,Fomento Economico Mexicano S.A.B De C.V PE Ratio Historical Data,Fomento Economico Mexicano S.A.B De C.V PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,95.98,,18.71
2024-06-30,105.66,$5.13,20.6
2023-12-31,126.79,$10.64,11.92
2023-09-30,105.26,$10.69,9.85
2023-06-30,106.89,$10.62,10.07
2023-03-31,90.83,$10.72,8.47
2022-12-31,74.54,$3.95,18.87
2022-09-30,59.18,$4.17,14.19
2022-06-30,63.65,$4.60,13.84
2022-03-31,77.23,$3.93,19.65
2021-12-31,72.44,$4.00,18.11
2021-09-30,80.28,$2.92,27.49
2021-06-30,78.23,$1.41,55.48
2021-03-31,69.23,$-0.44,0.0
2020-12-31,69.63,$0.11,633.0
2020-09-30,50.92,$0.99,51.44
2020-06-30,55.54,$1.55,35.83
2020-03-31,54.2,$3.79,14.3
2019-12-31,84.65,$2.82,30.02
2019-09-30,81.34,$3.44,23.64
2019-06-30,85.93,$3.29,26.12
2019-03-31,81.96,$3.72,22.03
2018-12-31,76.43,$3.40,22.48
2018-09-30,87.21,$2.33,37.43
2018-06-30,77.36,$6.51,11.88
2018-03-31,79.95,$5.98,13.37
2017-12-31,82.1,$6.47,12.69
2017-09-30,82.88,$7.11,11.66
2017-06-30,85.32,$2.69,31.72
2017-03-31,76.23,$2.71,28.13
2016-12-31,65.63,$2.71,24.22
2016-09-30,78.72,$2.69,29.26
2016-06-30,79.11,$2.69,29.41
2016-03-31,81.75,$2.64,30.97
2015-12-31,78.39,$2.72,28.82
2015-09-30,75.26,$3.21,23.45
2015-06-30,75.12,$3.63,20.7
2015-03-31,78.23,$3.59,21.79
2014-12-31,73.66,$3.87,19.03
2014-09-30,77.02,$3.55,21.7
2014-06-30,78.36,$3.65,21.47
2014-03-31,78.02,$3.78,20.64
2013-12-31,81.89,$3.52,23.26
2013-09-30,79.25,$4.55,17.42
2013-06-30,84.23,$4.48,18.8
2013-03-31,91.99,$4.51,20.4
2012-12-31,81.62,$4.43,18.42
2012-09-30,73.97,$3.43,21.57
2012-06-30,71.78,$3.26,22.02
2012-03-31,65.6,$3.11,21.09
2011-12-31,55.58,$3.65,15.23
2011-09-30,51.25,$3.68,13.93
2011-06-30,52.57,$3.96,13.28
2011-03-31,45.99,$9.66,4.76
2010-12-31,43.81,$9.06,4.84
2010-09-30,39.51,$8.82,4.48
2010-06-30,33.61,$8.20,4.1
2010-03-31,36.77,$2.37,15.52
2009-12-31,37.04,$2.07,17.9
