Tarsus Pharmaceuticals PE Ratio Historical Data,Tarsus Pharmaceuticals PE Ratio Historical Data,Tarsus Pharmaceuticals PE Ratio Historical Data,Tarsus Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,37.07,,0.0
2024-06-30,27.18,$-4.48,0.0
2024-03-31,36.35,$-4.77,0.0
2023-12-31,20.25,$-4.64,0.0
2023-09-30,17.77,$-3.82,0.0
2023-06-30,18.07,$-3.38,0.0
2023-03-31,12.57,$-2.45,0.0
2022-12-31,14.66,$-2.55,0.0
2022-09-30,17.12,$-2.78,0.0
2022-06-30,14.6,$-2.70,0.0
2022-03-31,16.82,$-2.17,0.0
2021-12-31,22.5,$-0.72,0.0
2021-09-30,21.55,0,0.0
