Boeing PE Ratio Historical Data,Boeing PE Ratio Historical Data,Boeing PE Ratio Historical Data,Boeing PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,173.74,,0.0
2024-06-30,182.01,$-5.63,0.0
2024-03-31,192.99,$-3.55,0.0
2023-12-31,260.66,$-3.68,0.0
2023-09-30,191.68,$-4.70,0.0
2023-06-30,211.16,$-7.49,0.0
2023-03-31,212.43,$-6.92,0.0
2022-12-31,190.49,$-8.29,0.0
2022-09-30,121.08,$-14.25,0.0
2022-06-30,136.72,$-8.95,0.0
2022-03-31,191.5,$-8.27,0.0
2021-12-31,201.32,$-7.13,0.0
2021-09-30,219.94,$-14.76,0.0
2021-06-30,239.56,$-15.36,0.0
2021-03-31,254.72,$-20.56,0.0
2020-12-31,214.06,$-20.75,0.0
2020-09-30,165.26,$-7.89,0.0
2020-06-30,183.3,$-5.05,0.0
2020-03-31,149.14,$-6.06,0.0
2019-12-31,323.82,$-1.20,0.0
2019-09-30,376.04,$6.52,57.67
2019-06-30,357.59,$8.54,41.87
2019-03-31,372.53,$17.48,21.31
2018-12-31,313.39,$17.88,17.53
2018-09-30,359.74,$17.13,21.0
2018-06-30,322.93,$16.12,20.03
2018-03-31,314.03,$15.28,20.55
2017-12-31,280.99,$13.47,20.86
2017-09-30,240.91,$10.88,22.14
2017-06-30,186.28,$11.42,16.31
2017-03-31,165.32,$8.16,20.26
2016-12-31,144.27,$7.65,18.86
2016-09-30,121.15,$6.57,18.44
2016-06-30,118.46,$5.44,21.78
2016-03-31,114.84,$7.40,15.52
2015-12-31,129.6,$7.44,17.42
2015-09-30,116.66,$7.95,14.67
2015-06-30,122.81,$7.34,16.73
2015-03-31,132.01,$7.99,16.52
2014-12-31,113.63,$7.40,15.36
2014-09-30,110.71,$6.99,15.84
2014-06-30,109.9,$6.64,16.55
2014-03-31,107.79,$5.81,18.55
2013-12-31,116.58,$5.97,19.53
2013-09-30,100.0,$5.64,17.73
2013-06-30,86.78,$5.48,15.84
2013-03-31,72.36,$5.34,13.55
2012-12-31,63.11,$5.12,12.33
2012-09-30,57.91,$5.68,10.2
2012-06-30,61.46,$5.79,10.61
2012-03-31,61.15,$5.77,10.6
2011-12-31,59.97,$5.33,11.25
2011-09-30,49.16,$5.05,9.73
2011-06-30,59.63,$4.71,12.66
2011-03-31,59.31,$4.52,13.12
2010-12-31,52.05,$4.44,11.72
2010-09-30,52.75,$4.63,11.39
2010-06-30,49.45,$1.28,38.63
2010-03-31,56.88,$1.63,34.9
2009-12-31,42.12,$1.79,23.53
