Sonos PE Ratio Historical Data,Sonos PE Ratio Historical Data,Sonos PE Ratio Historical Data,Sonos PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.88,,0.0
2024-06-30,14.76,$-0.14,0.0
2024-03-31,19.06,$-0.35,0.0
2023-12-31,17.14,$-0.03,0.0
2023-09-30,12.91,$-0.10,0.0
2023-06-30,16.33,$-0.35,0.0
2023-03-31,19.62,$-0.17,0.0
2022-12-31,16.9,$0.13,130.0
2022-09-30,13.9,$0.43,32.33
2022-06-30,18.04,$0.86,20.98
2022-03-31,28.22,$0.98,28.8
2021-12-31,29.8,$1.04,28.65
2021-09-30,32.36,$1.18,27.42
2021-06-30,35.23,$1.40,25.16
2021-03-31,37.47,$0.76,49.3
2020-12-31,23.39,$0.16,146.19
2020-09-30,15.18,$-0.25,0.0
2020-06-30,14.63,$-0.68,0.0
2020-03-31,8.48,$-0.29,0.0
2019-12-31,15.62,$-0.03,0.0
2019-09-30,13.41,$-0.08,0.0
2019-06-30,11.34,$0.18,63.0
