Dillard's PE Ratio Historical Data,Dillard's PE Ratio Historical Data,Dillard's PE Ratio Historical Data,Dillard's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,387.36,,9.54
2024-07-31,398.33,$40.61,9.81
2024-04-30,437.46,$44.00,9.94
2024-01-31,386.59,$44.76,8.64
2023-10-31,294.52,$46.21,6.37
2023-07-31,325.19,$47.68,6.82
2023-04-30,282.7,$49.00,5.77
2023-01-31,372.37,$50.83,7.33
2022-10-31,296.95,$50.55,5.87
2022-07-31,205.17,$49.40,4.15
2022-04-30,273.95,$48.91,5.6
2022-01-31,228.62,$42.48,5.38
2021-10-31,199.33,$28.92,6.89
2021-07-31,157.89,$20.54,7.69
2021-04-30,85.14,$11.36,7.49
2021-01-31,75.46,$-2.83,0.0
2020-10-31,38.35,$-3.13,0.0
2020-07-31,20.1,$-4.34,0.0
2020-04-30,25.02,$-5.56,0.0
2020-01-31,51.35,$4.37,11.75
2019-10-31,58.21,$4.84,12.03
2019-07-31,61.27,$4.89,12.53
2019-04-30,57.53,$6.38,9.02
2019-01-31,56.06,$6.28,8.93
2018-10-31,59.01,$8.61,6.85
2018-07-31,67.17,$8.84,7.6
2018-04-30,62.32,$8.36,7.45
2018-01-31,56.41,$7.59,7.43
2017-10-31,42.35,$3.76,11.26
2017-07-31,61.43,$3.93,15.63
2017-04-30,46.02,$6.68,6.89
2017-01-31,46.84,$6.87,6.82
2016-10-31,50.82,$6.34,8.02
2016-04-30,58.27,$6.42,9.08
2016-01-31,58.19,$6.91,8.42
2015-10-31,73.87,$7.77,9.51
2015-07-31,84.04,$6.93,12.13
2015-04-30,108.49,$7.48,14.5
2015-01-31,93.62,$5.62,16.66
2016-07-31,56.05,$5.01,11.19
2014-10-31,87.11,$7.37,11.82
2014-07-31,98.15,$7.20,13.63
2014-04-30,80.58,$7.19,11.21
2014-01-31,71.79,$7.13,10.07
2013-10-31,67.37,$7.78,8.66
2013-07-31,69.33,$7.66,9.05
2013-04-30,67.63,$7.50,9.02
2013-01-31,69.23,$6.89,10.05
2012-10-31,59.53,$6.30,9.45
2012-07-31,50.4,$5.79,8.7
2012-04-30,49.84,$5.48,9.09
2012-01-31,34.13,$4.90,6.97
2011-10-31,39.7,$3.88,10.23
2011-07-31,43.3,$3.60,12.03
2011-04-30,36.93,$3.38,10.92
2011-01-31,30.51,$2.75,11.1
2010-10-31,19.58,$2.08,9.41
2010-07-31,17.73,$1.97,9.0
2010-04-30,21.47,$1.51,14.22
2010-01-31,12.64,$-1.20,0.0
2009-10-31,10.38,$-2.18,0.0
