AT&T PE Ratio Historical Data,AT&T PE Ratio Historical Data,AT&T PE Ratio Historical Data,AT&T PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,19.9,,11.44
2024-06-30,18.83,$1.74,10.82
2024-03-31,17.06,$1.86,9.17
2023-12-31,16.01,$-1.81,0.0
2023-09-30,14.06,$-1.31,0.0
2023-06-30,14.67,$-1.23,0.0
2022-12-31,16.45,$-1.19,0.0
2022-09-30,13.47,$2.70,4.99
2022-06-30,18.16,$2.47,7.35
2022-03-31,15.37,$2.73,5.63
2021-12-31,15.69,$2.29,6.85
2023-03-31,17.45,$2.64,6.61
2021-09-30,16.91,$0.12,140.88
2021-06-30,17.69,$-0.31,0.0
2021-03-31,18.29,$-0.35,0.0
2020-12-31,17.07,$-0.76,0.0
2020-09-30,16.62,$1.52,10.93
2020-06-30,17.32,$1.63,10.62
2020-03-31,16.41,$1.97,8.33
2019-12-31,21.71,$1.90,11.43
2019-09-30,20.74,$2.23,9.3
2019-06-30,18.09,$2.38,7.6
2019-03-31,16.66,$2.68,6.22
2018-12-31,14.91,$2.87,5.19
2018-09-30,17.28,$5.29,3.27
2018-06-30,16.27,$5.13,3.17
2018-03-31,17.82,$4.95,3.6
2017-12-31,19.17,$4.76,4.03
2017-09-30,19.07,$2.07,9.21
2017-06-30,18.13,$2.12,8.55
2017-03-31,19.73,$2.04,9.67
2016-12-31,19.96,$2.13,9.37
2016-09-30,18.83,$2.24,8.41
2016-06-30,19.81,$2.28,8.69
2015-12-31,15.37,$2.34,6.57
2015-09-30,14.35,$0.92,15.6
2015-06-30,15.43,$1.03,14.98
2015-03-31,13.99,$1.03,13.58
2014-12-31,14.19,$1.10,12.9
2016-03-31,17.74,$2.57,6.9
2014-09-30,14.69,$3.27,4.49
2014-06-30,14.55,$3.41,4.27
2014-03-31,14.25,$3.44,4.14
2013-12-31,14.1,$3.41,4.13
2013-09-30,13.38,$1.42,9.42
2013-06-30,13.83,$1.33,10.4
2013-03-31,14.16,$1.28,11.06
2012-12-31,12.84,$1.21,10.61
2012-09-30,14.2,$0.77,18.44
2012-06-30,13.26,$0.75,17.69
2012-03-31,11.45,$0.69,16.6
2011-12-31,10.93,$0.66,16.56
2011-09-30,10.15,$1.96,5.18
2011-06-30,11.03,$3.43,3.22
2011-03-31,10.6,$3.51,3.02
2010-12-31,10.03,$3.36,2.98
2010-09-30,9.62,$3.69,2.61
2010-06-30,8.0,$2.15,3.72
2010-03-31,8.41,$2.01,4.18
2009-12-31,8.98,$2.12,4.24
