Nexa Resources S.A PE Ratio Historical Data,Nexa Resources S.A PE Ratio Historical Data,Nexa Resources S.A PE Ratio Historical Data,Nexa Resources S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.72,,0.0
2024-06-30,7.64,$-2.03,0.0
2024-03-31,7.16,$-2.22,0.0
2023-12-31,7.14,$-2.19,0.0
2023-09-30,6.05,$-2.10,0.0
2023-06-30,4.86,$-1.85,0.0
2023-03-31,6.28,$-0.26,0.0
2022-12-31,5.85,$0.37,15.8
2022-09-30,5.0,$1.00,5.0
2022-06-30,5.83,$1.17,4.98
2022-03-31,9.06,$1.17,7.74
2021-12-31,7.33,$0.86,8.52
2021-09-30,7.09,$1.23,5.76
2021-06-30,8.18,$1.15,7.11
2021-03-31,9.56,$-0.11,0.0
2020-12-31,8.78,$-4.22,0.0
2020-09-30,4.82,$-4.62,0.0
2020-06-30,6.05,$-5.53,0.0
2020-03-31,3.17,$-4.94,0.0
2019-12-31,6.85,$-1.11,0.0
2019-09-30,7.92,$-0.69,0.0
2019-06-30,8.07,$0.50,16.15
2019-03-31,10.48,$0.05,209.64
2018-12-31,9.57,$0.57,16.78
2018-09-30,9.7,$0.36,26.93
