Avista PE Ratio Historical Data,Avista PE Ratio Historical Data,Avista PE Ratio Historical Data,Avista PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,37.89,,15.34
2024-06-30,34.19,$2.47,13.84
2024-03-31,34.16,$2.41,14.17
2023-12-31,34.38,$2.23,15.42
2023-09-30,30.74,$2.20,13.97
2023-06-30,36.78,$1.93,19.06
2023-03-31,39.32,$1.86,21.14
2022-12-31,40.61,$1.84,22.07
2022-09-30,33.54,$0.99,33.88
2022-06-30,39.01,$1.27,30.71
2021-12-31,37.33,$2.09,17.86
2021-09-30,34.0,$2.24,15.18
2021-06-30,36.71,$3.03,12.12
2021-03-31,40.71,$2.90,14.04
2020-12-31,33.84,$2.18,15.52
2022-03-31,40.07,$2.04,19.64
2020-09-30,28.46,$1.81,15.72
2020-06-30,30.01,$1.82,16.49
2020-03-31,34.68,$2.26,15.35
2019-12-31,38.95,$1.69,23.05
2019-09-30,38.91,$1.32,29.48
2018-12-31,33.22,$2.07,16.05
2018-09-30,39.54,$1.79,22.09
2018-06-30,40.88,$1.71,23.91
2018-03-31,39.51,$1.66,23.8
2017-12-31,39.4,$1.79,22.01
2017-09-30,39.34,$1.99,19.77
2017-06-30,32.04,$2.11,15.19
2017-03-31,29.22,$2.20,13.28
2016-12-31,29.65,$2.13,13.92
2016-09-30,30.72,$2.12,14.49
2016-06-30,32.66,$2.14,15.26
2016-03-31,29.48,$2.11,13.97
2015-12-31,25.33,$1.96,12.92
2015-09-30,23.58,$1.86,12.68
2015-06-30,21.5,$1.81,11.88
2015-03-31,23.74,$3.08,7.71
2014-12-31,24.32,$3.15,7.72
2014-09-30,20.81,$3.17,6.56
2014-06-30,22.62,$3.20,7.07
2014-03-31,20.48,$1.96,10.45
2013-12-31,18.63,$1.86,10.02
2013-09-30,17.26,$1.59,10.85
2013-06-30,17.47,$1.50,11.64
2013-03-31,17.52,$2.83,6.19
2012-12-31,15.24,$2.43,6.27
2012-09-30,16.07,$2.82,5.7
2019-03-31,32.06,$3.14,10.21
2012-06-30,16.49,$1.56,10.57
2012-03-31,15.61,$1.64,9.52
2011-12-31,15.54,$1.44,10.79
2011-09-30,14.23,$1.24,11.48
2011-06-30,15.15,$1.52,9.97
2010-12-31,12.98,$1.65,7.87
2010-09-30,11.9,$1.60,7.44
2010-06-30,10.99,$2.11,5.21
2010-03-31,11.51,$1.80,6.39
2009-12-31,11.85,$1.75,6.77
2011-03-31,13.49,$1.92,7.03
2009-09-30,10.99,$1.57,7.0
