Crinetics Pharmaceuticals PE Ratio Historical Data,Crinetics Pharmaceuticals PE Ratio Historical Data,Crinetics Pharmaceuticals PE Ratio Historical Data,Crinetics Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,58.92,,0.0
2024-06-30,44.79,$-3.78,0.0
2024-03-31,46.81,$-3.78,0.0
2023-12-31,35.58,$-3.70,0.0
2023-09-30,29.74,$-3.64,0.0
2023-06-30,18.02,$-3.41,0.0
2023-03-31,16.06,$-3.28,0.0
2022-12-31,18.3,$-3.16,0.0
2022-09-30,19.64,$-3.00,0.0
2022-06-30,18.65,$-2.95,0.0
2022-03-31,21.95,$-2.84,0.0
2021-12-31,28.41,$-2.80,0.0
2021-09-30,21.05,$-2.78,0.0
2021-06-30,18.85,$-2.61,0.0
2021-03-31,15.28,$-2.44,0.0
2020-12-31,14.11,$-2.46,0.0
2020-09-30,15.67,$-2.40,0.0
2020-06-30,17.52,$-2.44,0.0
2020-03-31,14.7,$-2.42,0.0
2019-12-31,25.09,$-2.08,0.0
2019-09-30,15.04,$-1.83,0.0
2019-06-30,25.0,$-1.61,0.0
