Brink's PE Ratio Historical Data,Brink's PE Ratio Historical Data,Brink's PE Ratio Historical Data,Brink's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,112.66,,38.06
2024-06-30,102.18,$2.96,34.52
2024-03-31,91.95,$2.61,35.23
2023-12-31,87.3,$1.82,47.97
2023-09-30,71.88,$2.96,24.28
2023-06-30,66.92,$2.40,27.88
2023-03-31,65.68,$2.45,26.81
2022-12-31,52.65,$3.63,14.5
2022-09-30,47.32,$3.59,13.18
2022-06-30,59.1,$3.56,16.6
2022-03-31,65.96,$3.30,19.99
2021-12-31,63.42,$2.07,30.64
2021-09-30,61.05,$1.60,38.16
2021-06-30,73.91,$0.75,98.55
2021-03-31,76.02,$0.55,138.22
2020-12-31,68.94,$0.33,208.91
2020-09-30,39.23,$-0.25,0.0
2020-06-30,43.27,$0.33,131.13
2020-03-31,49.3,$0.31,159.02
2019-12-31,85.72,$0.55,155.86
2019-09-30,78.28,$1.31,59.76
2019-06-30,76.49,$1.54,49.67
2019-03-31,70.92,$-0.82,0.0
2018-12-31,60.68,$-0.67,0.0
2018-09-30,65.32,$-2.37,0.0
2018-06-30,74.55,$-2.33,0.0
2018-03-31,66.55,$0.06,1109.23
2017-12-31,73.26,$0.31,236.33
2017-09-30,78.28,$1.58,49.54
2017-06-30,62.12,$1.68,36.98
2017-03-31,49.44,$1.41,35.06
2016-12-31,38.07,$0.67,56.81
2016-09-30,34.14,$0.57,59.89
2016-06-30,26.14,$-0.17,0.0
2015-12-31,26.3,$-0.24,0.0
2015-09-30,24.54,$-1.13,0.0
2015-06-30,26.64,$-1.34,0.0
2015-03-31,24.94,$-0.67,0.0
2014-12-31,21.94,$-0.58,0.0
2016-03-31,30.72,$-0.82,0.0
2014-09-30,21.51,$0.07,307.25
2014-06-30,25.15,$0.15,167.7
2014-03-31,25.35,$0.30,84.51
2013-12-31,30.22,$1.16,26.05
2013-09-30,24.98,$0.90,27.75
2013-06-30,22.43,$0.69,32.51
2013-03-31,24.76,$1.14,21.72
2012-12-31,24.91,$1.83,13.61
2012-09-30,22.35,$1.59,14.06
2012-06-30,20.08,$1.95,10.3
2012-03-31,20.59,$1.48,13.91
2011-12-31,23.1,$1.54,15.0
2011-09-30,19.96,$1.63,12.24
2011-06-30,25.45,$1.49,17.08
2011-03-31,28.16,$1.77,15.91
2010-12-31,22.77,$1.19,19.14
2010-09-30,19.41,$3.27,5.94
2010-06-30,15.98,$3.49,4.58
2010-03-31,23.61,$3.49,6.76
2009-12-31,20.27,$4.16,4.87
