"NextEra Energy Partners, LP PE Ratio Historical Data","NextEra Energy Partners, LP PE Ratio Historical Data","NextEra Energy Partners, LP PE Ratio Historical Data","NextEra Energy Partners, LP PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.01,,8.79
2024-06-30,26.65,$2.96,9.0
2023-12-31,27.62,$2.13,12.97
2023-09-30,26.16,$1.33,19.67
2023-06-30,50.79,$1.51,33.63
2023-03-31,51.77,$1.91,27.1
2022-12-31,59.06,$4.69,12.59
2024-03-31,28.18,$6.01,4.69
2022-09-30,60.3,$5.14,11.73
2022-06-30,61.27,$4.45,13.77
2022-03-31,68.14,$0.87,78.33
2021-12-31,68.33,$1.81,37.75
2021-09-30,60.54,$2.78,21.78
2021-06-30,60.84,$3.30,18.44
2021-03-31,57.54,$4.96,11.6
2020-12-31,52.56,$-1.09,0.0
2020-09-30,46.57,$-1.44,0.0
2020-06-30,39.46,$-3.41,0.0
2020-03-31,32.72,$-4.59,0.0
2019-12-31,39.69,$-1.58,0.0
2019-09-30,39.43,$-2.47,0.0
2019-06-30,35.63,$-0.68,0.0
2019-03-31,34.08,$1.24,27.48
2018-12-31,31.1,$2.83,10.99
2018-09-30,34.7,$1.55,22.39
2018-06-30,33.08,$0.98,33.76
2018-03-31,28.07,$-0.21,0.0
2017-12-31,29.98,$-0.51,0.0
2017-09-30,27.73,$1.78,15.58
2017-06-30,25.23,$1.96,12.87
2016-12-31,17.04,$1.86,9.16
2016-09-30,18.43,$1.26,14.62
2016-06-30,19.8,$0.86,23.02
2016-03-31,17.52,$0.72,24.33
2015-12-31,19.03,$0.74,25.71
2017-03-31,22.35,$0.51,43.83
2015-09-30,13.76,$0.34,40.47
2015-06-30,24.82,$0.46,53.95
2015-03-31,27.31,$0.30,91.04
