UMH Properties PE Ratio Historical Data,UMH Properties PE Ratio Historical Data,UMH Properties PE Ratio Historical Data,UMH Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.91,,0.0
2024-06-30,15.81,$-0.07,0.0
2024-03-31,15.85,$-0.15,0.0
2023-12-31,14.74,$-0.15,0.0
2023-09-30,13.3,$-0.24,0.0
2023-06-30,14.96,$-0.33,0.0
2023-03-31,13.67,$-0.67,0.0
2022-12-31,14.71,$-0.67,0.0
2022-09-30,14.59,$-0.51,0.0
2022-06-30,15.8,$-0.40,0.0
2022-03-31,21.77,$0.19,114.57
2021-12-31,23.98,$0.44,54.51
2021-09-30,19.93,$0.65,30.67
2021-06-30,18.84,$0.41,45.95
2021-03-31,16.41,$0.48,34.18
2020-12-31,12.53,$-0.72,0.0
2020-09-30,11.31,$-1.18,0.0
2020-06-30,10.66,$-0.73,0.0
2020-03-31,8.81,$-1.13,0.0
2019-12-31,12.62,$0.06,210.32
2019-09-30,11.16,$-0.73,0.0
2019-06-30,9.84,$-1.18,0.0
2019-03-31,11.01,$-0.63,0.0
2018-12-31,9.14,$-1.54,0.0
2018-09-30,11.9,$-0.69,0.0
2018-06-30,11.55,$-0.53,0.0
2018-03-31,9.96,$-0.94,0.0
2017-12-31,10.91,$-0.23,0.0
2017-09-30,11.25,$-0.22,0.0
2017-06-30,12.19,$-0.09,0.0
2017-03-31,10.76,$-0.10,0.0
2016-12-31,10.52,$-0.08,0.0
2016-09-30,8.21,$-0.17,0.0
2016-06-30,7.64,$-0.18,0.0
2016-03-31,6.61,$-0.22,0.0
2015-12-31,6.62,$-0.24,0.0
2015-09-30,5.97,$-0.15,0.0
2015-06-30,6.17,$-0.18,0.0
2015-03-31,6.23,$-0.14,0.0
2014-12-31,5.8,$-0.15,0.0
2014-09-30,5.66,$-0.27,0.0
2014-06-30,5.87,$-0.27,0.0
2014-03-31,5.62,$-0.27,0.0
2013-12-31,5.31,$-0.08,0.0
2013-09-30,5.5,$0.02,275.02
2013-06-30,5.59,$0.09,62.12
2013-03-31,5.5,$0.18,30.56
2012-12-31,5.44,$0.12,45.31
2012-09-30,6.19,$0.14,44.19
2012-06-30,5.46,$0.13,41.98
2012-03-31,5.49,$0.06,91.42
2011-12-31,4.58,$0.14,32.73
2011-09-30,4.39,$0.31,14.17
2011-06-30,5.07,$0.40,12.68
2011-03-31,4.63,$0.52,8.91
2010-12-31,4.67,$0.52,8.99
2010-09-30,4.84,$0.55,8.8
2010-06-30,4.46,$0.58,7.69
2010-03-31,3.55,$0.57,6.24
2009-12-31,3.61,$0.32,11.28
